metro,state,cbsa_code,latitude,longitude,population,population_m,resident_employment_growth_pct,employment_population_ratio_pct,median_worker_earnings,median_gross_rent,bachelor_share_pct,population_growth_pct,broadband_subscription_pct
Atlanta,GA,12060,33.749,-84.388,6409047,6.409,1.93,64.97,50444,1770,43.85,1.64,95.59
Austin,TX,12420,30.2672,-97.7431,2550637,2.551,3.39,68.9,57058,1784,52.26,3.13,95.77
Baltimore,MD,12580,39.2904,-76.6122,2859024,2.859,1.63,63.96,57595,1633,45.26,0.87,94.11
Birmingham,AL,13820,33.5186,-86.8104,1192583,1.193,1.98,59.52,46976,1262,35.88,0.7,93.12
Boston,MA,14460,42.3601,-71.0589,5025517,5.026,2.5,66.4,61250,2093,52.96,2.16,94.92
Buffalo,NY,15380,42.8864,-78.8784,1160172,1.16,0.49,59.89,47195,1114,38.27,0.4,92.0
Charlotte,NC,16740,35.2271,-80.8431,2883370,2.883,3.89,66.19,50001,1594,41.54,2.79,95.11
Chicago,IL,16980,41.8781,-87.6298,9406924,9.407,1.02,63.15,51339,1469,43.06,1.56,93.66
Cincinnati,OH,17140,39.1031,-84.512,2304804,2.305,1.0,62.93,48225,1203,37.12,1.4,93.56
Cleveland,OH,17410,41.4993,-81.6944,2171877,2.172,1.91,61.49,46328,1087,34.75,0.6,92.2
Columbus,OH,18140,39.9612,-82.9988,2225377,2.225,1.82,64.75,49972,1359,40.32,2.07,94.72
Dallas–Fort Worth,TX,19100,32.7767,-96.797,8344032,8.344,2.18,66.08,50466,1718,41.0,3.01,95.12
Denver,CO,19740,39.7392,-104.9903,3050512,3.051,1.03,68.85,61081,1943,51.65,1.51,95.74
Detroit,MI,19820,42.3314,-83.0458,4400578,4.401,0.9,59.47,47043,1248,35.58,1.34,93.88
Hartford,CT,25540,41.7658,-72.6734,1169048,1.169,1.69,62.93,52793,1458,43.19,1.52,93.69
Houston,TX,26420,29.7604,-95.3698,7796182,7.796,3.22,63.0,45984,1469,37.26,3.81,94.25
Indianapolis,IN,26900,39.7684,-86.1581,2173288,2.173,0.9,65.45,48770,1273,39.41,1.57,94.71
Jacksonville,FL,27260,30.3322,-81.6557,1760548,1.761,5.36,60.79,46396,1625,38.25,2.76,95.0
Kansas City,MO,28140,39.0997,-94.5786,2254288,2.254,1.62,65.87,50021,1315,40.7,1.55,93.84
Las Vegas,NV,29820,36.1699,-115.1398,2398871,2.399,3.43,60.73,42319,1739,28.19,2.67,95.67
