GEO_ID|B01003_E001|B01003_M001
0100000US|334914896|-555555555
0100089US|1037750|31378
0100091US|2645788|8400
0100093US|278335|3861
0100094US|1119291|15966
01000A0US|316962076|20125
01000C0US|288889909|17517
01000C1US|110853063|40391
01000C2US|178036846|45653
01000E0US|28072167|17119
01000E1US|9225754|109029
01000E2US|18846413|106474
01000G0US|17952820|20124
01000H0US|46024987|17518
010C201US|266619704|295558
010C243US|68295192|295555
0200000US1|56983517|-555555555
0200000US2|68909284|-555555555
0200000US3|130125290|-555555555
0200000US4|78896805|-555555555
02000A0US1|55595167|1171
02000A0US2|62793415|9656
02000A0US3|121616781|15832
02000A0US4|76956713|9456
02000C0US1|52040552|1171
02000C0US2|54223123|7752
02000C0US3|110363338|14767
02000C0US4|72262896|6372
02000C1US1|16681558|15478
02000C1US2|19499666|21786
02000C1US3|40201513|29609
02000C1US4|34470326|17096
02000C2US1|35358994|15516
02000C2US2|34723457|23312
02000C2US3|70161825|32717
02000C2US4|37792570|18099
02000E0US1|3554615|-555555555
02000E0US2|8570292|7060
02000E0US3|11253443|13218
02000E0US4|4693817|8301
02000E1US1|674649|16051
02000E1US2|3246990|56159
02000E1US3|3608432|42771
02000E1US4|1695683|23435
02000E2US1|2879966|16051
02000E2US2|5323302|56797
02000E2US3|7645011|42009
02000E2US4|2998134|21527
02000G0US1|1388350|1171
02000G0US2|6115869|9656
02000G0US3|8508509|15832
02000G0US4|1940092|9456
02000H0US1|4942965|1171
02000H0US2|14686161|7753
02000H0US3|19761952|14767
02000H0US4|6633909|6372
020C201US1|47706217|58226
020C201US2|50888759|141312
020C201US3|98125019|124763
020C201US4|69899709|65684
020C243US1|9277300|58226
020C243US2|18020525|141309
020C243US3|32000271|124763
020C243US4|8997096|65684
0300000US1|15159777|-555555555
0300000US2|41823740|-555555555
0300000US3|47146039|-555555555
0300000US4|21763245|-555555555
0300000US5|68225883|-555555555
0300000US6|19700801|-555555555
0300000US7|42198606|-555555555
0300000US8|25716830|-555555555
0300000US9|53179975|-555555555
03000A0US1|14514761|1171
03000A0US2|41080406|-555555555
03000A0US3|44239581|5159
03000A0US4|18553834|8244
03000A0US5|64816162|10281
03000A0US6|17363204|11914
03000A0US7|39437415|10942
03000A0US8|24441563|8963
03000A0US9|52515150|3549
03000C0US1|13342694|1171
03000C0US2|38697858|-555555555
03000C0US3|38756176|4385
03000C0US4|15466947|6775
03000C0US5|60461017|8506
03000C0US6|13862045|9446
03000C0US7|36040276|7578
03000C0US8|21888869|5998
03000C0US9|50374027|1743
03000C1US1|3286135|6232
03000C1US2|13395423|13756
03000C1US3|13148312|18749
03000C1US4|6351354|10277
03000C1US5|17751896|23698
03000C1US6|5355604|9016
03000C1US7|17094013|14896
03000C1US8|11087967|11972
03000C1US9|23382359|11430
03000C2US1|10056559|6337
03000C2US2|25302435|13756
03000C2US3|25607864|18691
03000C2US4|9115593|12781
03000C2US5|42709121|23925
03000C2US6|8506441|13147
03000C2US7|18946263|17191
03000C2US8|10800902|13186
03000C2US9|26991668|11453
03000E0US1|1172067|-555555555
03000E0US2|2382548|-555555555
03000E0US3|5483405|2909
03000E0US4|3086887|6188
03000E0US5|4355145|6634
03000E0US6|3501159|8939
03000E0US7|3397139|7798
03000E0US8|2552694|7777
03000E0US9|2141123|3393
03000E1US1|265287|9461
03000E1US2|409362|12271
03000E1US3|1694842|26675
03000E1US4|1552148|34323
03000E1US5|1059763|21022
03000E1US6|1053428|20189
03000E1US7|1495241|24331
03000E1US8|1043021|17141
03000E1US9|652662|15120
03000E2US1|906780|9461
03000E2US2|1973186|12271
03000E2US3|3788563|26959
03000E2US4|1534739|34956
03000E2US5|3295382|22134
03000E2US6|2447731|20987
03000E2US7|1901898|23267
03000E2US8|1509673|17037
03000E2US9|1488461|14997
03000G0US1|645016|1171
03000G0US2|743334|-555555555
03000G0US3|2906458|5159
03000G0US4|3209411|8244
03000G0US5|3409721|10281
03000G0US6|2337597|11914
03000G0US7|2761191|10942
03000G0US8|1275267|8963
03000G0US9|664825|3549
03000H0US1|1817083|1171
03000H0US2|3125882|-555555555
03000H0US3|8389863|4385
03000H0US4|6296298|6775
03000H0US5|7764866|8506
03000H0US6|5838756|9446
03000H0US7|6158330|7578
03000H0US8|3827961|5998
03000H0US9|2805948|1743
030C201US1|12049292|27827
030C201US2|35656925|44445
030C201US3|35972950|73697
030C201US4|14915809|77190
030C201US5|53661613|71827
030C201US6|11593326|46444
030C201US7|32870080|65240
030C201US8|21570663|42555
030C201US9|48329046|52316
030C243US1|3110485|27827
030C243US2|6166815|44445
030C243US3|11173089|73697
030C243US4|6847436|77187
030C243US5|14564270|71827
030C243US6|8107475|46444
030C243US7|9328526|65240
030C243US8|4146167|42555
030C243US9|4850929|52316
0400000US01|5108468|-555555555
0400000US02|733406|-555555555
0400000US04|7431344|-555555555
0400000US05|3067732|-555555555
0400000US06|38965193|-555555555
0400000US08|5877610|-555555555
0400000US09|3617176|-555555555
0400000US10|1031890|-555555555
0400000US11|678972|-555555555
0400000US12|22610726|-555555555
0400000US13|11029227|-555555555
0400000US15|1435138|-555555555
0400000US16|1964726|-555555555
0400000US17|12549689|-555555555
0400000US18|6862199|-555555555
0400000US19|3207004|-555555555
0400000US20|2940547|-555555555
