GEO_ID|B20002_E001|B20002_M001|B20002_E002|B20002_M002|B20002_E003|B20002_M003
0100000US|46949|77|52551|201|40685|68
0100089US|38926|1015|42503|1404|35029|997
0100091US|40285|373|47213|670|33648|648
0100093US|43956|3135|50378|2249|37200|2624
0100094US|40512|530|46880|1079|33784|1637
01000A0US|47343|79|53366|215|40977|70
01000C0US|48440|139|54762|227|41465|75
01000C1US|45831|122|51029|111|40856|99
01000C2US|50387|68|57671|371|41866|89
01000E0US|40648|149|47311|294|33757|361
01000E1US|36594|235|41970|294|31547|253
01000E2US|41954|174|50398|201|35393|246
01000G0US|40281|140|46956|307|32716|368
01000H0US|40507|112|47175|215|33352|253
010C201US|47237|91|52558|226|41144|77
010C243US|45835|122|52524|302|37387|127
0200000US1|51299|91|58809|568|45112|222
0200000US2|46030|128|52231|102|39758|259
0200000US3|44598|218|51158|93|38387|237
0200000US4|49780|227|55760|224|41835|129
02000A0US1|51470|94|59589|570|45370|224
02000A0US2|46457|137|52484|253|40247|124
02000A0US3|45208|127|51412|99|39130|258
02000A0US4|50054|91|56044|235|41977|132
02000C0US1|51828|101|60334|173|45888|236
02000C0US2|47257|149|54058|398|40862|135
02000C0US3|45938|127|51841|102|40149|118
02000C0US4|50359|91|56577|253|42305|140
02000C1US1|46881|322|50903|289|42340|346
02000C1US2|42403|159|48035|603|38930|481
02000C1US3|42690|350|49750|460|38357|401
02000C1US4|50414|148|55619|409|43773|623
02000C2US1|55013|264|62607|626|47135|245
02000C2US2|50516|121|59742|539|41649|176
02000C2US3|47295|162|53931|512|40680|143
02000C2US4|50307|130|57503|607|41686|166
02000E0US1|43996|756|50457|345|38375|919
02000E0US2|41363|194|49570|770|34743|516
02000E0US3|37462|454|44508|945|31722|230
02000E0US4|41382|423|49542|1122|34901|951
02000E1US1|40869|984|44517|2470|36600|1803
02000E1US2|37332|445|42411|711|32287|498
02000E1US3|34688|687|40857|533|30223|423
02000E1US4|37834|1208|43288|2079|32168|915
02000E2US1|45204|556|51185|369|38838|1039
02000E2US2|43996|627|51945|276|36011|349
02000E2US3|40096|333|46247|590|32544|571
02000E2US4|43652|1677|51857|671|35976|810
02000G0US1|41770|328|48264|1347|36084|741
02000G0US2|41417|195|50014|433|34327|560
02000G0US3|37511|439|44718|939|31556|250
02000G0US4|40635|398|47211|866|34128|1427
02000H0US1|43018|577|50138|352|37491|613
02000H0US2|41385|142|49765|498|34572|375
02000H0US3|37480|288|44593|677|31655|152
02000H0US4|41145|290|48780|919|34679|845
020C201US1|51443|107|58961|657|45643|251
020C201US2|45802|159|51804|121|40180|145
020C201US3|45081|146|51144|105|39549|286
020C201US4|50073|95|55879|259|42113|139
020C243US1|50634|182|58223|946|41928|294
020C243US2|46683|188|55081|388|37789|432
020C243US3|42845|359|51199|162|36069|180
020C243US4|46805|428|54721|1119|38387|846
0300000US1|52501|403|61090|294|46935|357
0300000US2|50838|106|57223|312|43905|431
0300000US3|45994|171|52312|131|39652|344
0300000US4|46104|197|52072|163|39965|294
0300000US5|45968|158|51577|132|40535|128
0300000US6|41859|173|50088|185|35881|261
0300000US7|42998|357|51018|176|36504|193
0300000US8|46443|214|52480|541|39833|417
0300000US9|50823|122|57144|339|43649|532
03000A0US1|53528|494|61518|298|47444|524
03000A0US2|50951|109|57479|506|44212|439
03000A0US3|46278|174|52489|349|40087|157
03000A0US4|46867|219|52473|403|40626|189
03000A0US5|46352|158|51813|133|40791|129
03000A0US6|42230|183|50363|201|36449|290
03000A0US7|43681|370|51252|193|36822|197
03000A0US8|46769|223|53173|747|40143|202
03000A0US9|50886|123|57282|356|43839|542
03000C0US1|54332|517|61894|320|48004|752
03000C0US2|51351|115|59164|686|45160|264
03000C0US3|46922|195|53803|522|40599|168
03000C0US4|48500|420|54580|676|41505|205
03000C0US5|46899|163|52153|140|41140|136
03000C0US6|44153|521|51180|215|37830|645
03000C0US7|44813|381|51579|206|37360|215
03000C0US8|47294|265|54052|844|40593|210
03000C0US9|51116|120|57978|728|44516|570
03000C1US1|47287|705|51787|580|42099|646
03000C1US2|46767|355|50671|311|42402|435
03000C1US3|42095|202|47232|425|38382|605
03000C1US4|43881|662|49756|854|40030|561
03000C1US5|45861|295|51145|273|41016|243
03000C1US6|41096|332|46350|640|36288|495
03000C1US7|41622|223|47829|764|36392|292
03000C1US8|46019|385|51446|329|40500|273
03000C1US9|51753|203|59062|1080|46535|467
03000C2US1|57409|599|66068|642|50454|297
03000C2US2|53499|453|62038|214|46123|307
03000C2US3|50219|151|59080|690|41314|224
03000C2US4|51276|226|60389|289|42649|623
03000C2US5|47339|214|52709|622|41195|171
03000C2US6|46597|418|53661|947|39775|693
03000C2US7|47574|496|56132|589|39465|732
03000C2US8|49424|599|58462|1342|40693|319
03000C2US9|50551|158|57279|547|42135|242
03000E0US1|50162|615|55081|1763|43891|1804
03000E0US2|41436|364|47566|867|35497|626
03000E0US3|41520|203|50195|331|34898|549
03000E0US4|41101|336|47901|1067|34514|820
03000E0US5|38991|828|44445|1178|33662|1025
03000E0US6|36924|507|43420|1582|31197|414
03000E0US7|36956|463|45416|998|30663|399
03000E0US8|41230|560|50316|736|32912|1502
03000E0US9|41569|532|48038|1426|36109|928
03000E1US1|49667|1978|52130|2524|46416|2650
03000E1US2|34983|1472|38987|3088|31491|884
03000E1US3|36936|544|41794|666|32385|908
03000E1US4|38023|1207|43652|1534|32196|572
03000E1US5|35335|829|40285|1083|31140|911
03000E1US6|34717|1021|40911|923|30292|973
03000E1US7|33946|1225|41230|844|28777|1599
03000E1US8|36985|822|43860|2766|31027|900
03000E1US9|40006|1407|42476|2292|35717|1892
03000E2US1|50259|685|55790|1683|42684|2032
03000E2US2|42329|411|50065|577|36330|668
03000E2US3|43978|752|52055|328|35774|441
03000E2US4|44038|1027|51668|465|36549|612
03000E2US5|40515|417|45932|688|35181|625
03000E2US6|38275|1217|45333|1084|31600|461
03000E2US7|40522|520|49147|1907|31817|562
03000E2US8|45145|1624|53643|2646|35607|1220
03000E2US9|42358|930|50532|1040|36277|995
03000G0US1|42084|535|48772|2043|37420|1394
03000G0US2|41485|474|47812|1589|34630|1125
03000G0US3|41378|318|50056|578|34038|688
03000G0US4|41451|241|49932|640|34585|744
03000G0US5|37942|837|43024|1493|32567|944
03000G0US6|36945|545|45173|1271|30994|504
03000G0US7|37829|906|45781|802|30961|431
03000G0US8|39902|969|46696|1085|32595|1475
03000G0US9|41907|635|48758|2255|36385|1272
03000H0US1|46829|555|51847|546|41370|556
03000H0US2|41448|291|47622|781|35327|543
03000H0US3|41472|177|50146|260|34592|482
03000H0US4|41276|204|48937|660|34548|552
03000H0US5|38534|597|43832|1009|33164|791
03000H0US6|36932|372|44091|1188|31119|310
03000H0US7|37278|318|45595|580|30793|292
03000H0US8|40779|387|49218|1425|32804|1059
03000H0US9|41659|411|48227|1190|36165|833
030C201US1|52769|507|60994|317|47321|471
030C201US2|51036|126|57411|494|44997|394
030C201US3|45737|203|51874|157|40093|173
030C201US4|45955|256|51649|226|40388|226
030C201US5|46382|181|51666|146|41010|148
030C201US6|42029|229|49553|745|36753|361
030C201US7|42854|406|50774|215|36814|202
030C201US8|46497|246|52407|384|40168|198
030C201US9|50988|127|57317|382|44386|592
030C243US1|52166|355|61457|631|45515|687
030C243US2|49418|601|56341|523|40816|355
030C243US3|46867|242|55569|448|37610|526
030C243US4|46416|293|53901|772|38033|586
030C243US5|43973|550|51264|249|37307|296
030C243US6|41582|253|50423|266|34160|587
030C243US7|43544|717|51818|269|35261|448
030C243US8|46120|527|53914|1853|37291|718
030C243US9|47451|825|55299|1374|40098|1125
0400000US01|41871|270|50908|384|34997|716
0400000US02|50872|641|53979|2561|44484|2739
0400000US04|46251|457|51439|361|40750|437
0400000US05|40734|392|46710|778|34990|787
0400000US06|50460|151|55894|428|42823|641
0400000US08|54163|1149|61965|493|46345|670
0400000US09|52631|847|61539|608|46323|879
0400000US10|46579|1416|51292|1003|42072|1183
0400000US11|80645|1524|87892|5114|75642|3274
0400000US12|42321|154|48924|646|38565|483
0400000US13|45204|419|51512|290|39250|899
0400000US15|49652|1595|54307|2202|42159|778
0400000US16|41563|484|51190|613|32973|1384
0400000US17|49650|707|56435|591|41873|269
0400000US18|44095|605|51257|329|37304|447
0400000US19|44656|729|51563|394|37273|448
0400000US20|44119|820|50914|420|36943|547
0400000US21|41577|315|48727|1074|35829|582
0400000US22|40882|376|50587|545|33122|982
0400000US23|46556|735|51291|659|41726|641
0400000US24|57033|798|62120|550|51019|573
0400000US25|57238|685|65142|1377|50661|445
0400000US26|43195|525|51364|218|36505|393
0400000US27|51228|255|58188|1208|44492|747
0400000US28|39108|1059|46143|870|32218|560
0400000US29|43094|659|50851|326|37603|615
0400000US30|41741|547|49098|2398|36504|715
0400000US31|44461|1065|50972|455|38131|1362
0400000US32|43185|980|50176|862|37903|1423
0400000US33|52029|497|61265|763|44733|1418
0400000US34|55531|620|63820|1615|47880|1057
0400000US35|40349|723|45607|1407|35165|1070
0400000US36|51169|157|56753|479|46008|393
0400000US37|43948|574|50734|289|38965|724
0400000US38|47520|1190|54674|2656|40754|763
0400000US39|45067|430|51949|278|38244|699
0400000US40|40862|295|47211|589|35080|508
0400000US41|47358|474|52476|1138|41436|509
0400000US42|46804|302|53260|783|40449|263
0400000US44|49492|2105|52712|3406|44406|2195
0400000US45|42275|394|50121|571|37030|486
0400000US46|45579|847|51082|750|40193|847
0400000US47|43255|720|50586|351|37469|660
0400000US48|45035|317|51645|205|37256|220
0400000US49|44769|852|55080|1029|35189|519
0400000US50|46970|1062|51683|930|41885|850
0400000US51|51322|234|59928|956|44081|766
0400000US53|56325|604|65821|743|47276|494
0400000US54|40545|596|47363|1777|34520|1704
0400000US55|47337|346|53850|918|41007|248
0400000US56|42185|1577|51001|1155|35397|1678
0400000US72|22251|277|22214|331|22297|421
04000A0US01|42101|292|51083|420|35460|588
04000A0US02|52546|1631|59008|4930|47652|3915
04000A0US04|46305|453|51472|364|40776|439
04000A0US05|41522|423|47440|1152|36074|740
04000A0US06|50482|151|55949|431|42926|666
04000A0US08|55238|697|62416|1121|46840|701
04000A0US09|52631|847|61539|608|46323|879
04000A0US10|46579|1416|51292|1003|42072|1183
04000A0US11|80645|1524|87892|5114|75642|3274
04000A0US12|42370|155|49092|657|38668|476
04000A0US13|45784|385|51833|297|40087|553
04000A0US15|49652|1595|54307|2202|42159|778
04000A0US16|41784|517|51329|702|33872|1453
04000A0US17|50156|238|56924|619|42177|275
04000A0US18|44394|619|51299|346|37539|630
04000A0US19|45201|603|51782|465|37988|780
04000A0US20|45261|520|51404|467|37671|1048
04000A0US21|42103|347|49455|1128|36656|652
04000A0US22|41158|402|50946|600|33623|1017
04000A0US23|50086|1325|52454|1755|44309|2323
04000A0US24|57295|925|62217|740|51207|582
04000A0US25|57238|685|65142|1377|50661|445
04000A0US26|43866|549|51649|232|36823|410
04000A0US27|51639|271|59423|1244|45477|483
04000A0US28|40040|753|46659|1024|32809|1259
04000A0US29|44511|743|51356|370|38798|712
04000A0US30|43618|2419|50754|836|37704|1378
04000A0US31|45292|672|51235|516|39898|1202
04000A0US32|43242|983|50165|883|37946|1466
04000A0US33|52289|705|61666|820|45300|1280
04000A0US34|55531|620|63820|1615|47880|1057
04000A0US35|40473|714|45763|1392|35253|1013
04000A0US36|51274|161|57011|488|46186|400
04000A0US37|44783|583|51124|293|39605|711
04000A0US38|47212|1285|52847|2696|40856|896
04000A0US39|45241|389|52010|288|38619|710
04000A0US40|41361|319|48140|1227|35648|445
04000A0US41|47433|542|52619|1303|41504|508
04000A0US42|47018|312|53712|786|40602|272
04000A0US44|49492|2105|52712|3406|44406|2195
04000A0US45|42540|878|50410|408|37184|572
04000A0US46|46396|978|51353|877|41088|819
04000A0US47|43954|764|50843|384|38155|978
04000A0US48|45203|258|51754|220|37414|264
04000A0US49|45133|673|55479|947|35236|528
04000A0US50|47512|2065|52382|2512|42872|2692
04000A0US51|52007|253|60916|416|45431|532
04000A0US53|56639|623|66128|758|47486|695
04000A0US54|40947|720|47372|2084|35472|1090
04000A0US55|47764|589|54613|963|41280|282
04000A0US56|42099|1391|50665|1520|35562|1539
04000A0US72|22378|298|22321|345|22447|464
04000C0US01|42897|748|51630|460|36296|647
04000C0US02|52469|1566|57887|5033|47357|3837
04000C0US04|46520|467|51567|380|40975|449
04000C0US05|42606|840|48634|1236|37790|1345
04000C0US06|50549|150|56064|432|43143|698
04000C0US08|55956|701|63753|1926|47419|885
04000C0US09|52757|937|61664|604|46381|960
04000C0US10|47833|2310|51796|1264|43780|2718
04000C0US11|80645|1524|87892|5114|75642|3274
04000C0US12|42390|161|49236|665|38673|497
04000C0US13|46844|414|52543|870|40822|407
04000C0US15|50745|462|55781|1564|44184|1913
04000C0US16|42704|1431|52097|942|35465|1061
04000C0US17|50644|258|58322|1390|42950|743
04000C0US18|45180|448|51664|366|38307|926
04000C0US19|45739|733|51999|547|38832|960
04000C0US20|46726|617|52435|1193|40135|937
04000C0US21|44263|1112|50628|517|38476|1357
04000C0US22|41461|422|51294|628|34228|1133
04000C0US23|50166|1387|52987|2379|44265|2624
04000C0US24|58015|1367|62640|2110|51497|607
04000C0US25|57371|846|65223|1288|50711|448
04000C0US26|45014|461|52033|272|37379|564
04000C0US27|52542|745|60726|467|46954|580
04000C0US28|41314|633|48241|2030|35710|983
04000C0US29|46086|447|52246|355|40215|388
04000C0US30|44670|2145|51278|896|38008|1497
04000C0US31|45937|714|51487|606|40552|736
04000C0US32|43066|999|49692|1437|38391|1567
04000C0US33|55138|1422|65766|3197|46825|1660
04000C0US34|55531|620|63820|1615|47880|1057
04000C0US35|41384|772|46472|1611|36889|1025
04000C0US36|51608|164|57827|992|46731|405
04000C0US37|46025|426|51938|327|40536|358
04000C0US38|46434|1152|51244|1242|41026|892
04000C0US39|45784|417|52216|318|39798|706
04000C0US40|42282|335|50151|752|36634|503
04000C0US41|49459|897|55482|1103|42448|882
04000C0US42|48036|606|55390|586|41152|290
04000C0US44|49492|2105|52712|3406|44406|2195
04000C0US45|43634|1070|50722|398|37870|1194
04000C0US46|49684|1789|52919|2328|42999|3290
04000C0US47|45650|464|51605|400|40021|792
04000C0US48|45591|261|51930|230|38150|531
04000C0US49|45084|761|55398|1060|35315|504
04000C0US50|48911|3015|56037|4262|41980|1658
04000C0US51|52250|262|61271|422|45684|558
04000C0US53|58240|1100|67357|1088|48888|889
04000C0US54|41325|719|48499|2622|35884|1054
04000C0US55|48998|665|55663|722|41929|308
04000C0US56|45125|2930|51901|2576|36104|2033
04000C0US72|22525|366|22469|414|22597|520
04000C1US01|38420|1531|45995|1427|32339|1089
04000C1US02|53274|2223|55941|3510|51195|2504
04000C1US04|46483|668|51351|508|41243|528
04000C1US05|41597|730|45873|1232|37418|1499
04000C1US06|51582|230|58005|1220|46368|547
04000C1US08|52360|841|60120|1685|46467|1109
04000C1US09|42496|1799|49960|1746|37767|1969
