GEO_ID|B23025_E001|B23025_M001|B23025_E002|B23025_M002|B23025_E003|B23025_M003|B23025_E004|B23025_M004|B23025_E005|B23025_M005|B23025_E006|B23025_M006|B23025_E007|B23025_M007
0100000US|276249478|52420|176681413|152166|175408841|149527|167292666|159791|8116175|66152|1272572|21179|99568065|140716
0100089US|823870|25752|454036|15700|453180|15684|414645|14330|38535|3308|856|295|369834|13064
0100091US|2122837|6721|1269754|8342|1256098|8503|1194839|8826|61259|3402|13656|1380|853083|9207
0100093US|218413|3306|133855|3378|131585|3412|121469|3425|10116|1179|2270|768|84558|2741
0100094US|896772|12506|521042|9416|497682|9582|473779|9476|23903|2258|23360|2401|375730|7645
01000A0US|261546750|47148|168611901|142147|167361899|139852|159572550|151207|7789349|66718|1250002|21317|92934849|138948
01000C0US|238500645|39997|155072164|126135|153905994|125686|146703282|134204|7202712|65272|1166170|20950|83428481|125546
01000C1US|92267281|65205|61048636|99544|60546754|99277|57311765|98960|3234989|41747|501882|12825|31218645|95407
01000C2US|146233364|77705|94023528|114001|93359240|115020|89391517|123863|3967723|45431|664288|14577|52209836|104633
01000E0US|23046105|17073|13539737|43892|13455905|43610|12869268|43336|586637|15737|83832|5597|9506368|39724
01000E1US|7582252|76450|4541875|51885|4500322|51439|4277418|47571|222904|10758|41553|3902|3040377|39367
01000E2US|15463853|82790|8997862|65722|8955583|65296|8591850|65366|363733|11552|42279|3737|6465991|41075
01000G0US|14702728|24858|8069512|34424|8046942|34647|7720116|35516|326826|9735|22570|2479|6633216|29415
01000H0US|37748833|30332|21609249|59946|21502847|60043|20589384|62460|913463|17801|106402|6023|16139584|53833
010C201US|219525316|200854|143291702|155861|142197431|154965|135331188|151846|6866243|63562|1094271|20714|76233614|160760
010C243US|56724162|228755|33389711|177773|33211410|176126|31961478|171745|1249932|16945|178301|7248|23334451|86002
0200000US1|47736703|14484|30787542|52104|30722807|51887|29257716|55654|1465091|23777|64735|4636|16949161|53830
0200000US2|56360497|18607|36476616|56257|36356535|56339|34901280|62217|1455255|24757|120081|6041|19883881|53307
0200000US3|107030960|30902|67496796|99357|66816675|101927|63802480|102591|3014195|40008|680121|15777|39534164|99101
0200000US4|65121318|19020|41920459|59848|41512824|59508|39331190|61053|2181634|29800|407635|10519|23200859|63299
02000A0US1|46558784|13972|30117301|51952|30053255|51530|28609352|55151|1443903|23728|64046|4638|16441483|53635
02000A0US2|51393754|16122|33573923|54239|33457965|54367|32098201|59697|1359764|23782|115958|5914|17819831|51891
02000A0US3|100081447|32185|63892153|93869|63224627|96535|60375361|98090|2849266|39429|667526|15538|36189294|98203
02000A0US4|63512765|19991|41028524|60279|40626052|59884|38489636|61747|2136416|29816|402472|10691|22484241|63628
02000C0US1|43563953|13048|28339503|49556|28277567|49071|26906896|52805|1370671|23004|61936|4740|15224450|50777
02000C0US2|44403415|13391|29272016|47722|29177239|48329|27963079|52836|1214160|23385|94777|5504|15131399|47664
02000C0US3|90879824|28021|58667163|87353|58033560|90749|55441745|94552|2591815|39411|633603|15183|32212661|88371
02000C0US4|59653453|17758|38793482|59320|38417628|58848|36391562|60417|2026066|28330|375854|9986|20859971|62933
02000C1US1|14091419|19701|9083902|34470|9065637|33831|8469428|34262|596209|15606|18265|2662|5007517|33345
02000C1US2|16128816|27884|10756534|36352|10732367|36955|10179957|37226|552410|18430|24167|3140|5372282|38800
02000C1US3|33215329|48735|21916021|65115|21603547|67309|20558628|70171|1044919|21129|312474|9605|11299308|47872
02000C1US4|28831717|38986|19292179|47433|19145203|47642|18103752|47133|1041451|20823|146976|7967|9539538|44477
02000C2US1|29472534|23926|19255601|43118|19211930|43374|18437468|45231|774462|16500|43671|3792|10216933|43368
02000C2US2|28274599|32749|18515482|39267|18444872|38894|17783122|42700|661750|13793|70610|4654|9759117|39511
02000C2US3|57664495|56136|36751142|78758|36430013|78700|34883117|82659|1546896|30672|321129|10774|20913353|75249
02000C2US4|30821736|41654|19501303|49075|19272425|49981|18287810|48421|984615|20571|228878|7735|11320433|55610
02000E0US1|2994831|3703|1777798|11662|1775688|11607|1702456|12233|73232|3987|2110|935|1217033|11748
02000E0US2|6990339|9322|4301907|20409|4280726|20365|4135122|20565|145604|6814|21181|1993|2688432|19076
02000E0US3|9201623|13249|5224990|27664|5191067|27699|4933616|27249|257451|10181|33923|3198|3976633|29069
02000E0US4|3859312|8011|2235042|15528|2208424|15391|2098074|16881|110350|6165|26618|2930|1624270|15267
02000E1US1|579222|13314|349107|10505|348872|10543|330578|9800|18294|2758|235|196|230115|7487
02000E1US2|2667211|42611|1650535|27880|1636035|27943|1572464|26211|63571|5548|14500|1401|1016676|21895
02000E1US3|2943600|31202|1704197|25174|1691890|25213|1595367|24561|96523|6750|12307|2455|1239403|19961
02000E1US4|1392219|21818|838036|18226|823525|18214|779009|18304|44516|4453|14511|2521|554183|11243
02000E2US1|2415609|14277|1428691|14111|1426816|14128|1371878|14191|54938|2992|1875|908|986918|10406
02000E2US2|4323128|45777|2651372|36061|2644691|36209|2562658|35636|82033|4395|6681|1547|1671756|18297
02000E2US3|6258023|30907|3520793|26355|3499177|25955|3338249|25604|160928|7468|21616|2314|2737230|25747
02000E2US4|2467093|23327|1397006|20404|1384899|20685|1319065|20947|65834|4939|12107|1736|1070087|14482
02000G0US1|1177919|2050|670241|6490|669552|6415|648364|6845|21188|1984|689|292|507678|6058
02000G0US2|4966743|8840|2902693|12606|2898570|12676|2803079|13395|95491|4348|4123|1023|2064050|10361
02000G0US3|6949513|18901|3604643|27412|3592048|27474|3427119|28062|164929|7114|12595|1936|3344870|24690
02000G0US4|1608553|8026|891935|9478|886772|9691|841554|10045|45218|3745|5163|1294|716618|8198
02000H0US1|4172750|4353|2448039|11937|2445240|11836|2350820|12214|94420|4447|2799|1002|1724711|11756
02000H0US2|11957082|13290|7204600|25537|7179296|25708|6938201|26381|241095|8202|25304|2355|4752482|23469
02000H0US3|16151136|20200|8829633|38812|8783115|38983|8360735|40289|422380|11493|46518|3555|7321503|39369
02000H0US4|5467865|8708|3126977|17832|3095196|17827|2939628|18897|155568|7386|31781|3058|2340888|17509
020C201US1|39995830|43336|26035684|55851|25978748|55712|24672722|55808|1306026|22514|56936|4106|13960146|56239
020C201US2|41686890|103520|27458986|80591|27356325|81470|26167846|77337|1188479|25362|102661|5240|14227904|61433
020C201US3|80470756|93383|52269560|97425|51683676|96608|49280065|96647|2403611|37235|585884|15413|28201196|91122
020C201US4|57371840|50223|37527472|60907|37178682|60854|35210555|61254|1968127|28526|348790|10305|19844368|64500
020C243US1|7740873|45315|4751858|36162|4744059|36128|4584994|35838|159065|7765|7799|1597|2989015|24834
020C243US2|14673607|114708|9017630|85635|9000210|85417|8733434|83559|266776|7187|17420|2424|5655977|36897
020C243US3|26560204|99875|15227236|86741|15132999|85433|14522415|84474|610584|14795|94237|5652|11332968|57171
020C243US4|7749478|53565|4392987|41669|4334142|41727|4120635|39939|213507|9281|58845|3470|3356491|31560
0300000US1|12870186|7098|8513598|26330|8490308|26929|8146355|28853|343953|11236|23290|2767|4356588|26345
0300000US2|34866517|12428|22273944|42825|22232499|42236|21111361|46579|1121138|23236|41445|4027|12592573|43875
0300000US3|38724687|13311|24760449|42613|24709182|42935|23646424|49649|1062758|24064|51267|4380|13964238|43396
0300000US4|17635810|9831|11716167|29009|11647353|28666|11254856|30749|392497|9294|68814|4458|5919643|26787
0300000US5|57014717|19537|35914843|66985|35458678|68857|33910173|72709|1548505|28602|456165|11859|21099874|69379
0300000US6|16063322|11549|9778657|34732|9716213|35840|9285972|35349|430241|13559|62444|4562|6284665|34402
0300000US7|33952921|15542|21803296|52757|21641784|54017|20606335|58083|1035449|24228|161512|8312|12149625|53578
0300000US8|21201682|10729|13702787|34697|13584905|33567|12974031|36601|610874|17821|117882|6264|7498895|36020
0300000US9|43919636|14223|28217672|54905|27927919|56263|26357159|57302|1570760|23256|289753|7483|15701964|58543
03000A0US1|12317924|7036|8190289|25891|8167438|26464|7832548|28671|334890|11285|22851|2776|4127635|25953
03000A0US2|34240860|12056|21927012|42186|21885817|41606|20776804|45889|1109013|23248|41195|4021|12313848|43267
03000A0US3|36330962|12528|23406479|40502|23356587|40675|22343898|47912|1012689|23177|49892|4268|12924483|40752
03000A0US4|15062792|8615|10167444|27620|10101378|27524|9754303|29103|347075|9127|66066|4413|4895348|25519
03000A0US5|54181546|21716|34454574|66003|34003618|67906|32520214|69848|1483404|27479|450956|11685|19726972|70146
03000A0US6|14177583|13111|8809075|32491|8748128|33578|8364338|32979|383790|13406|60947|4525|5368508|33917
03000A0US7|31722318|16218|20628504|49742|20472881|50729|19490809|56046|982072|23738|155623|8051|11093814|50611
03000A0US8|20147001|11061|13115848|32667|12999400|31741|12414026|35304|585374|17827|116448|6308|7031153|34473
03000A0US9|43365764|14270|27912676|54652|27626652|55746|26075610|57045|1551042|23274|286024|7398|15453088|58106
03000C0US1|11314560|6664|7557313|24376|7535089|25092|7219937|27115|315152|11329|22224|2767|3757247|24021
03000C0US2|32249393|11566|20782190|40267|20742478|39649|19686959|44647|1055519|22158|39712|3998|11467203|41105
03000C0US3|31840166|11271|20693108|38921|20647333|39170|19729412|44311|917921|22949|45775|3929|11147058|38867
03000C0US4|12563249|7635|8578908|23411|8529906|23280|8233667|24546|296239|8034|49002|4006|3984341|23528
03000C0US5|50576218|18719|32403784|63226|31973041|65775|30590185|69309|1382856|26639|430743|11896|18172434|65483
03000C0US6|11312986|10790|7187225|28364|7134254|29714|6824635|29280|309619|12043|52971|4078|4125761|30591
03000C0US7|28990620|15399|19076154|45681|18926265|46355|18026925|51528|899340|24041|149889|7947|9914466|45573
03000C0US8|18065198|11038|11868898|29691|11768413|28934|11236706|32481|531707|16921|100485|5432|6196300|31836
03000C0US9|41588255|13271|26924584|52417|26649215|53318|25154856|54940|1494359|22880|275369|7267|14663671|56437
03000C1US1|2835129|12636|1903145|15628|1898923|15615|1792993|15923|105930|7165|4222|1220|931984|12815
03000C1US2|11256290|17125|7180757|27605|7166714|27310|6676435|29022|490279|13678|14043|2476|4075533|29366
03000C1US3|10896595|23393|7138759|29101|7129986|29241|6721680|30100|408306|17585|8773|1818|3757836|30479
03000C1US4|5232221|13718|3617775|17082|3602381|17395|3458277|17738|144104|6809|15394|2549|1614446|16657
03000C1US5|14986799|33220|9832883|44148|9628507|44654|9185280|46192|443227|13013|204376|6873|5153916|39443
03000C1US6|4406477|13335|2893622|22718|2869338|22857|2717168|22352|152170|7766|24284|3073|1512855|20095
03000C1US7|13822053|31067|9189516|37558|9105702|38189|8656180|42220|449522|17162|83814|6535|4632537|34330
03000C1US8|9218614|25635|6201332|30891|6154132|31129|5863740|31272|290392|12125|47200|4625|3017282|24981
03000C1US9|19613103|30035|13090847|37727|12991071|37707|12240012|38456|751059|15734|99776|6051|6522256|34592
03000C2US1|8479431|13341|5654168|22273|5636166|22650|5426944|24022|209222|9076|18002|2509|2825263|21935
03000C2US2|20993103|19636|13601433|35725|13575764|35366|13010524|38007|565240|15730|25669|3075|7391670|33011
03000C2US3|20943571|27390|13554349|32069|13517347|32247|13007732|34180|509615|12606|37002|3492|7389222|32269
03000C2US4|7331028|15332|4961133|21692|4927525|21092|4775390|21254|152135|7128|33608|3094|2369895|18520
03000C2US5|35589419|36806|22570901|59277|22344534|58753|21404905|62260|939629|24995|226367|9549|13018518|53390
03000C2US6|6906509|16067|4293603|23633|4264916|24198|4107467|25052|157449|7812|28687|3016|2612906|25786
03000C2US7|15168567|37185|9886638|40275|9820563|40229|9370745|41205|449818|16029|66075|4461|5281929|41260
03000C2US8|8846584|28300|5667566|29515|5614281|29919|5372966|31709|241315|9850|53285|3770|3179018|28833
03000C2US9|21975152|30100|13833737|43864|13658144|43956|12914844|44467|743300|18134|175593|6451|8141415|45234
03000E0US1|1003364|2368|632976|7078|632349|7055|612611|6987|19738|2565|627|291|370388|6988
03000E0US2|1991467|2576|1144822|9573|1143339|9484|1089845|10264|53494|3733|1483|883|846645|9341
03000E0US3|4490796|6561|2713371|14739|2709254|14649|2614486|15345|94768|5080|4117|1323|1777425|14120
03000E0US4|2499543|6182|1588536|11436|1571472|11354|1520636|12046|50836|3909|17064|1493|911007|10581
03000E0US5|3605328|9167|2050790|15163|2030577|15423|1930029|15928|100548|7174|20213|2450|1554538|15692
03000E0US6|2864597|9190|1621850|15185|1613874|15194|1539703|16274|74171|5361|7976|1617|1242747|15293
03000E0US7|2731698|7318|1552350|13297|1546616|13010|1463884|13748|82732|5392|5734|1357|1179348|13777
03000E0US8|2081803|6405|1246950|11975|1230987|11713|1177320|13342|53667|4645|15963|2272|834853|11729
03000E0US9|1777509|5281|988092|10841|977437|11006|920754|11397|56683|4051|10655|1686|789417|10525
03000E1US1|226613|8179|138773|5965|138595|5986|134884|5968|3711|992|178|181|87840|5587
03000E1US2|352609|9417|210334|8336|210277|8336|195694|7688|14583|2568|57|84|142275|5058
03000E1US3|1401455|22991|839317|15606|837891|15626|804104|14267|33787|3701|1426|675|562138|13699
03000E1US4|1265756|24665|811218|18657|798144|18710|768360|18015|29784|3734|13074|1276|454538|12394
03000E1US5|881650|15532|509060|14434|503088|14566|471461|14069|31627|4472|5972|1641|372590|10108
03000E1US6|852125|15359|495411|13270|492293|13292|465569|12950|26724|3348|3118|1108|356714|10586
03000E1US7|1209825|17759|699726|15308|696509|15120|658337|14813|38172|3587|3217|1134|510099|11473
03000E1US8|845945|16619|514639|13721|505849|13301|483784|13386|22065|3097|8790|2034|331306|9755
03000E1US9|546274|11485|323397|10302|317676|10485|295225|10272|22451|2897|5721|1234|222877|7091
03000E2US1|776751|8570|494203|8471|493754|8459|477727|8211|16027|2302|449|225|282548|6124
03000E2US2|1638858|10102|934488|10499|933062|10521|894151|10943|38911|2664|1426|876|704370|8049
03000E2US3|3089341|24049|1874054|20744|1871363|20796|1810382|20533|60981|3825|2691|1148|1215287|12803
03000E2US4|1233787|26154|777318|19768|773328|19748|752276|19518|21052|1972|3990|1053|456469|10514
03000E2US5|2723678|17129|1541730|15418|1527489|15548|1458568|15972|68921|5568|14241|1942|1181948|14259
03000E2US6|2012472|14532|1126439|15264|1121581|15205|1074134|15209|47447|3995|4858|1051|886033|12942
03000E2US7|1521873|16832|852624|12455|850107|12338|805547|13306|44560|4039|2517|706|669249|11855
03000E2US8|1235858|17846|732311|14276|725138|14125|693536|14448|31602|3425|7173|1297|503547|10849
03000E2US9|1231235|12760|664695|13011|659761|13383|625529|13208|34232|3377|4934|1296|566540|8787
03000G0US1|552262|1370|323309|4877|322870|4823|313807|5275|9063|1501|439|249|228953|4698
03000G0US2|625657|1386|346932|3972|346682|3985|334557|4217|12125|1389|250|179|278725|3746
03000G0US3|2393725|4556|1353970|8228|1352595|8269|1302526|8335|50069|3052|1375|598|1039755|7913
03000G0US4|2573018|7096|1548723|9806|1545975|9786|1500553|10274|45422|3413|2748|903|1024295|8350
03000G0US5|2833171|11007|1460269|15852|1455060|15907|1389959|16083|65101|5422|5209|1297|1372902|14771
03000G0US6|1885739|8882|969582|13150|968085|12999|921634|12496|46451|3610|1497|692|916157|12714
03000G0US7|2230603|9447|1174792|13396|1168903|13597|1115526|13377|53377|4950|5889|1143|1055811|10883
03000G0US8|1054681|6806|586939|7350|585505|7399|560005|7451|25500|2577|1434|1016|467742|6930
03000G0US9|553872|3884|304996|5536|301267|5717|281549|6023|19718|2204|3729|754|248876|5650
03000H0US1|1555626|2720|956285|8393|955219|8336|926418|8262|28801|2923|1066|379|599341|8232
03000H0US2|2617124|3060|1491754|10173|1490021|10047|1424402|10314|65619|3982|1733|899|1125370|9942
