GEO_ID|B28002_E001|B28002_M001|B28002_E002|B28002_M002|B28002_E003|B28002_M003|B28002_E004|B28002_M004|B28002_E005|B28002_M005|B28002_E006|B28002_M006|B28002_E007|B28002_M007|B28002_E008|B28002_M008|B28002_E009|B28002_M009|B28002_E010|B28002_M010|B28002_E011|B28002_M011|B28002_E012|B28002_M012|B28002_E013|B28002_M013
0100000US|132737146|140273|123873624|168553|127668|5526|123745956|167596|117696246|159388|16722836|79273|101582619|185920|5236488|41711|8891002|61332|420517|10583|83201|5016|2837112|35108|6026410|48495
0100089US|386689|11405|328567|10042|1086|424|327481|9993|302082|9451|54851|2685|235957|7842|18993|1789|45979|3018|4703|794|402|195|14672|1724|43450|2398
0100091US|1034128|4855|947427|5493|851|340|946576|5490|901765|5431|172235|4684|700593|6478|36192|2254|95484|3373|5904|920|651|288|22966|1868|63735|2665
0100093US|99343|2204|92632|2289|12|22|92620|2293|89164|2227|17756|1597|55632|2533|2203|559|21187|1337|1046|289|0|172|1990|474|4721|587
0100094US|452969|6773|414543|6788|601|329|413942|6782|396643|6709|58442|3272|339465|6176|14862|1739|32202|2280|1214|356|483|283|10203|1597|28223|1928
01000A0US|125285662|114850|117300820|141509|111494|4918|117189326|140970|111641225|136232|15546697|75823|96952703|168266|4847542|40077|7990189|54987|346331|10091|76053|4917|2660352|34287|5324490|46262
01000C0US|113826948|90963|106936949|115209|94435|4839|106842514|115215|101989513|113883|13922025|66465|89035196|141079|4268532|36805|6952841|48907|275868|9203|65468|4844|2372478|32339|4517521|42702
01000C1US|45714070|58068|42721072|69941|30166|3064|42690906|69623|40868302|66644|5856577|46994|35626622|82383|1625714|23763|2514276|30649|79892|4748|25229|3028|1133966|22608|1859032|24811
01000C2US|68112878|73342|64215877|84939|64269|3987|64151608|84812|61121211|84196|8065448|52001|53408574|101742|2642818|25651|4438565|38659|195976|7709|40239|3668|1238512|20664|2658489|29257
01000E0US|11458714|40083|10363871|43185|17059|2010|10346812|43138|9651712|43075|1624672|22026|7917507|44571|579010|12085|1037348|18348|70463|4123|10585|1630|287874|10821|806969|12824
01000E1US|3862597|33560|3489318|29350|4417|1000|3484901|29561|3261183|30045|525241|16580|2816518|24221|198931|8135|220447|8467|11122|1566|2768|948|127008|7152|246271|10098
01000E2US|7596117|60752|6874553|58104|12642|1703|6861911|57872|6390529|54407|1099431|15645|5100989|49207|380079|8986|816901|16800|59341|3762|7817|1278|160866|7255|560698|9193
01000G0US|7451484|35789|6572804|38097|16174|1700|6556630|37744|6055021|36185|1176139|13701|4629916|32066|388946|9382|900813|16500|74186|3541|7148|1199|176760|5784|701920|12173
01000H0US|18910198|67550|16936675|73186|33233|2711|16903442|72584|15706733|70687|2800811|25979|12547423|65435|967956|15999|1938161|29196|144649|5780|17733|2025|464634|12141|1508889|19057
010C201US|105762922|78049|99350596|87538|81517|4542|99269079|87566|94785910|89902|12818513|77026|83605740|109727|4008666|37613|5721962|43840|196044|8102|58116|4643|2309364|34210|4102962|43607
010C243US|26974224|156596|24523028|157493|46151|2987|24476877|156831|22910336|147743|3904323|30428|17976879|123067|1227822|18675|3169040|37786|224473|7946|25085|2286|527748|11494|1923448|21490
0200000US1|22938571|32208|21449506|38166|28722|2667|21420784|38841|20237901|42472|2848327|29104|18011628|49346|1073632|16420|997030|17913|43554|2980|15640|2493|423414|12752|1065651|17831
0200000US2|28507387|48511|26343352|54757|33097|2620|26310255|54511|24891920|56160|3707103|30411|21278113|60580|1234025|20249|1902731|24308|98326|4735|21250|2131|694888|16041|1469147|20833
0200000US3|51594863|72613|48019017|88133|39050|3050|47979967|87671|45768707|84404|6678182|46773|39144396|91679|1894298|27031|3636366|36780|166793|6189|29440|3453|1119721|21584|2456125|30204
0200000US4|29696325|29138|28061749|35319|26799|2624|28034950|35014|26797718|38807|3489224|31822|23148482|50781|1034533|17524|2354875|25801|111844|6577|16871|1998|599089|14301|1035487|20633
02000A0US1|22323304|30470|20892181|36289|25650|2411|20866531|36896|19738703|40660|2781560|28751|17570443|48072|1027559|15962|945339|17754|37598|2964|15111|2475|410375|12604|1020748|18138
02000A0US2|25904202|38493|24041130|45288|26915|2278|24014215|45167|22773045|47834|3306584|29927|19626736|53892|1092932|19532|1614139|22681|75036|4053|18417|2070|632120|15794|1230952|18964
