rank,metro,state,cbsa_code,latitude,longitude,population,population_m,opportunity_score,career_score,affordability_score,education_score,momentum_score,connectivity_score,income_score,resident_employment_growth_pct,employment_population_ratio_pct,median_worker_earnings,median_gross_rent,earnings_after_rent,rent_to_earnings_pct,bachelor_share_pct,population_growth_pct,broadband_subscription_pct,profile,headline
1,Raleigh,NC,39580,35.7796,-78.6382,1562009,1.562,89.2,91.7,75.7,93.6,93.6,100.0,85.1,4.51,67.0,56878,1674,36790,35.3,52.5,3.5,96.47,leading,A balanced profile led by digital access and education depth.
2,Austin,TX,12420,30.2672,-97.7431,2550637,2.551,84.7,90.9,64.1,91.5,91.5,93.6,87.2,3.39,68.9,57058,1784,35650,37.5,52.26,3.13,95.77,leading,A balanced profile led by digital access and education depth.
3,Seattle,WA,42660,47.6062,-122.3321,4145494,4.145,78.5,71.0,73.7,87.2,78.7,95.7,95.7,2.34,65.03,65181,2050,40581,37.7,48.49,2.49,95.92,leading,A balanced profile led by digital access and education depth.
4,Washington,DC,47900,38.9072,-77.0369,6437907,6.438,77.0,65.0,79.9,100.0,61.7,83.0,97.9,1.73,66.88,66487,2037,42043,36.8,55.46,2.12,95.41,strong,A balanced profile led by education depth and digital access.
5,Boston,MA,14460,42.3601,-71.0589,5025517,5.026,72.6,79.3,53.8,95.7,63.8,66.0,93.6,2.5,66.4,61250,2093,36134,41.0,52.96,2.16,94.92,strong,A balanced profile led by education depth and career strength.
6,Charlotte,NC,16740,35.2271,-80.8431,2883370,2.883,68.7,86.5,40.2,61.7,87.2,72.3,48.9,3.89,66.19,50001,1594,30873,38.3,41.54,2.79,95.11,strong,A balanced profile led by population momentum and career strength.
7,Denver,CO,19740,39.7392,-104.9903,3050512,3.051,67.9,57.1,69.3,89.4,42.6,91.5,91.5,1.03,68.85,61081,1943,37765,38.2,51.65,1.51,95.74,strong,A balanced profile led by digital access and education depth.
8,San Francisco,CA,41860,37.7749,-122.4194,4648486,4.648,67.0,48.3,63.4,97.9,57.4,85.1,100.0,1.72,62.94,70670,2435,41450,41.3,53.8,1.79,95.52,strong,A balanced profile led by education depth and digital access.
9,Nashville,TN,34980,36.1627,-86.7816,2151715,2.152,64.1,80.7,39.5,72.3,68.1,53.2,63.8,2.41,67.71,50460,1627,30936,38.7,43.34,2.26,94.48,strong,A balanced profile led by career strength and education depth.
10,Dallas–Fort Worth,TX,19100,32.7767,-96.797,8344032,8.344,62.3,71.5,32.3,59.6,89.4,74.5,66.0,2.18,66.08,50466,1718,29850,40.9,41.0,3.01,95.12,strong,"Population Momentum and digital access stand out, while affordability remains the main constraint."
