GEO_ID|B01003_E001|B01003_M001
0100000US|340110990|-555555555
0100089US|1043523|34268
0100091US|2681854|8382
0100093US|280254|4005
0100094US|1134911|16493
01000A0US|322152548|25294
01000C0US|293884134|21008
01000C1US|112866653|41492
01000C2US|181017481|52062
01000E0US|28268414|15810
01000E1US|9288719|108052
01000E2US|18979695|103534
01000G0US|17958442|25293
01000H0US|46226856|21008
010C201US|270244163|303197
010C243US|69866827|303191
0200000US1|57832935|-555555555
0200000US2|69596585|-555555555
0200000US3|132665693|-555555555
0200000US4|80015777|-555555555
02000A0US1|56444363|792
02000A0US2|63487176|8737
02000A0US3|124157388|21268
02000A0US4|78063621|9090
02000C0US1|52883239|792
02000C0US2|54868960|7473
02000C0US3|112795627|18088
02000C0US4|73336308|7142
02000C1US1|17051034|14142
02000C1US2|19790561|21942
02000C1US3|41017727|28213
02000C1US4|35007331|18221
02000C2US1|35832205|14038
02000C2US2|35078399|22579
02000C2US3|71777900|36128
02000C2US4|38328977|19610
02000E0US1|3561124|-555555555
02000E0US2|8618216|5990
02000E0US3|11361761|13428
02000E0US4|4727313|7176
02000E1US1|679658|16771
02000E1US2|3245164|58118
02000E1US3|3666059|42914
02000E1US4|1697838|28710
02000E2US1|2881466|16771
02000E2US2|5373052|57985
02000E2US3|7695702|40130
02000E2US4|3029475|28377
02000G0US1|1388572|792
02000G0US2|6109409|8737
02000G0US3|8508305|21268
02000G0US4|1952156|9089
02000H0US1|4949696|792
02000H0US2|14727625|7473
02000H0US3|19870066|18088
02000H0US4|6679469|7142
020C201US1|48511091|57048
020C201US2|51367766|145915
020C201US3|99867449|131834
020C201US4|70497857|70860
020C243US1|9321844|57048
020C243US2|18228819|145912
020C243US3|32798244|131834
020C243US4|9517920|70859
0300000US1|15386085|-555555555
0300000US2|42446850|-555555555
0300000US3|47619171|-555555555
0300000US4|21977414|-555555555
0300000US5|69676509|-555555555
0300000US6|19916866|-555555555
0300000US7|43072318|-555555555
0300000US8|26167684|-555555555
0300000US9|53848093|-555555555
03000A0US1|14741018|792
03000A0US2|41703345|-555555555
03000A0US3|44707944|4824
03000A0US4|18779232|7346
03000A0US5|66271666|12103
03000A0US6|17588604|11583
03000A0US7|40297118|12464
03000A0US8|24886628|8013
03000A0US9|53176993|3842
03000C0US1|13565437|792
03000C0US2|39317802|-555555555
03000C0US3|39204793|5119
03000C0US4|15664167|5454
03000C0US5|61859873|11315
03000C0US6|14053992|8670
03000C0US7|36881762|9023
03000C0US8|22308388|6707
03000C0US9|51027920|1559
03000C1US1|3348368|4629
03000C1US2|13702666|14212
03000C1US3|13361511|19290
03000C1US4|6429050|8276
03000C1US5|18139382|23358
03000C1US6|5443263|7646
03000C1US7|17435082|19079
03000C1US8|11265320|14523
03000C1US9|23742011|11921
03000C2US1|10217069|4824
03000C2US2|25615136|14212
03000C2US3|25843282|20052
03000C2US4|9235117|9835
03000C2US5|43720491|26791
03000C2US6|8610729|11144
03000C2US7|19446680|23433
03000C2US8|11043068|16721
03000C2US9|27285909|11960
03000E0US1|1175581|-555555555
03000E0US2|2385543|-555555555
03000E0US3|5503151|3504
03000E0US4|3115065|4711
03000E0US5|4411793|8077
03000E0US6|3534612|9135
03000E0US7|3415356|8521
03000E0US8|2578240|6444
03000E0US9|2149073|3303
03000E1US1|263881|9383
03000E1US2|415777|12472
03000E1US3|1685532|29905
03000E1US4|1559632|34813
03000E1US5|1101540|18827
03000E1US6|1049735|19392
03000E1US7|1514784|23612
03000E1US8|1040033|20604
03000E1US9|657805|15929
03000E2US1|911700|9383
03000E2US2|1969766|12472
03000E2US3|3817619|30237
03000E2US4|1555433|34153
03000E2US5|3310253|19617
03000E2US6|2484877|18566
03000E2US7|1900572|22497
03000E2US8|1538207|20904
03000E2US9|1491268|15949
03000G0US1|645067|792
03000G0US2|743505|-555555555
03000G0US3|2911227|4824
03000G0US4|3198182|7346
03000G0US5|3404843|12103
03000G0US6|2328262|11583
03000G0US7|2775200|12464
03000G0US8|1281056|8012
03000G0US9|671100|3842
03000H0US1|1820648|792
03000H0US2|3129048|-555555555
03000H0US3|8414378|5119
03000H0US4|6313247|5454
03000H0US5|7816636|11315
03000H0US6|5862874|8670
03000H0US7|6190556|9023
03000H0US8|3859296|6707
03000H0US9|2820173|1559
030C201US1|12270392|35420
030C201US2|36240699|43444
030C201US3|36319940|81383
030C201US4|15047826|77538
030C201US5|54701291|81711
030C201US6|11757177|41873
030C201US7|33408981|78583
030C201US8|21725287|47029
030C201US9|48772570|53179
030C243US1|3115693|35420
030C243US2|6206151|43444
030C243US3|11299231|81383
030C243US4|6929588|77535
030C243US5|14975218|81711
030C243US6|8159689|41873
030C243US7|9663337|78583
030C243US8|4442397|47028
030C243US9|5075523|53179
0400000US01|5157699|-555555555
0400000US02|740133|-555555555
0400000US04|7582384|-555555555
0400000US05|3088354|-555555555
0400000US06|39431263|-555555555
0400000US08|5957494|-555555555
0400000US09|3675069|-555555555
0400000US10|1051917|-555555555
0400000US11|702250|-555555555
0400000US12|23372215|-555555555
0400000US13|11180878|-555555555
0400000US15|1446146|-555555555
0400000US16|2001619|-555555555
0400000US17|12710158|-555555555
0400000US18|6924275|-555555555
0400000US19|3241488|-555555555
0400000US20|2970606|-555555555
0400000US21|4588372|-555555555
0400000US22|4597740|-555555555
0400000US23|1405012|-555555555
0400000US24|6263220|-555555555
0400000US25|7136171|-555555555
0400000US26|10140459|-555555555
0400000US27|5793151|-555555555
0400000US28|2943045|-555555555
0400000US29|6245466|-555555555
0400000US30|1137233|-555555555
