GEO_ID|B15003_E001|B15003_M001|B15003_E002|B15003_M002|B15003_E003|B15003_M003|B15003_E004|B15003_M004|B15003_E005|B15003_M005|B15003_E006|B15003_M006|B15003_E007|B15003_M007|B15003_E008|B15003_M008|B15003_E009|B15003_M009|B15003_E010|B15003_M010|B15003_E011|B15003_M011|B15003_E012|B15003_M012|B15003_E013|B15003_M013|B15003_E014|B15003_M014|B15003_E015|B15003_M015|B15003_E016|B15003_M016|B15003_E017|B15003_M017|B15003_E018|B15003_M018|B15003_E019|B15003_M019|B15003_E020|B15003_M020|B15003_E021|B15003_M021|B15003_E022|B15003_M022|B15003_E023|B15003_M023|B15003_E024|B15003_M024|B15003_E025|B15003_M025
0100000US|235910719|69861|4871187|48430|78695|6396|63452|4669|109962|7251|212548|10658|438855|13384|326058|14873|504274|18149|1908577|38411|596330|16803|1798934|31451|2419327|40532|2631027|35570|3097785|40824|4720027|43326|51355820|176203|9343112|60891|15134425|86187|28519108|120955|20848519|84517|52233014|177628|24874048|115763|5581473|51675|4244162|43745
0100089US|696403|20688|10433|1346|28|34|160|174|296|248|280|158|1169|357|525|228|2009|610|3278|1735|2289|504|8184|1212|11023|1461|14651|1534|19402|2145|13070|1324|188683|7510|36367|2658|47043|2888|116355|5350|75723|4256|89838|4451|40702|2449|8034|992|6861|1495
0100091US|1809239|5779|26288|2290|226|193|165|172|548|379|692|339|2519|706|1638|504|2435|736|10697|1395|4214|685|15206|1592|22006|1834|27457|1999|35888|2651|30080|2300|501184|8154|104661|4116|143420|4140|259964|6289|154948|4815|311980|6798|116347|4592|23800|2089|12876|1251
0100093US|186594|3017|513|301|0|172|16|21|0|172|49|66|106|64|120|91|175|118|558|370|638|327|959|336|1995|483|2318|445|4280|781|3047|844|51412|2476|11815|1213|13222|1225|30504|2171|18756|1794|28769|2238|12620|1473|3046|863|1676|515
0100094US|761798|10511|13335|2318|70|111|198|200|157|137|330|203|1375|543|868|364|1469|574|4249|1202|2407|725|7713|1178|12179|1810|15564|1524|19914|2392|14268|1535|211659|6856|41131|3247|49511|3112|104772|4725|76698|4033|115996|4610|51524|3560|9355|1453|7056|1126
01000A0US|223019702|55161|4682621|47817|75279|6174|61367|4644|107637|7314|207940|10659|425775|12852|315184|15093|486213|17686|1849089|37295|549118|15820|1603654|29352|2238767|38008|2384202|32930|2821639|39153|4478560|41524|47440192|172055|8561734|59335|14161346|78145|26832010|112735|19528497|79772|50469009|165293|24148249|108961|5445798|50732|4145822|42632
01000C0US|203408587|39504|4395750|47273|71746|6058|57347|4546|100702|7140|193494|10252|401106|12633|296701|14422|456148|17140|1748621|35282|499629|15152|1386766|27144|2015244|34722|2076707|30685|2457896|33434|4122634|38774|41938512|160832|7457872|56360|12702893|72187|24276073|108878|17479908|74160|47395946|147759|22777221|97393|5174055|47856|3925616|42664
01000C1US|77226889|70651|1997102|29850|30808|4166|24310|3006|49299|4644|104158|7727|197006|9464|146414|9650|222546|10814|858792|26627|225286|11027|565713|16010|883709|23176|838915|22092|1032740|23422|1703734|26700|14511969|86880|2773239|33753|4395234|42680|9150905|63043|5927903|42564|18546854|75647|9029315|67832|2267968|32590|1742970|28301
01000C2US|126181698|78571|2398648|34658|40938|4399|33037|3605|51403|5310|89336|6119|204100|9175|150287|9100|233602|12147|889829|22315|274343|12481|821053|20107|1131535|22590|1237792|22515|1425156|26316|2418900|25039|27426543|112027|4684633|46947|8307659|55790|15125168|80449|11552005|56411|28849092|111256|13747906|72396|2906087|32724|2182646|28856
01000E0US|19611115|25242|286871|10451|3533|915|4020|1055|6935|1532|14446|2641|24669|3001|18483|2907|30065|3388|100468|6532|49489|4029|216888|9626|223523|9371|307495|9490|363743|11430|355926|10381|5501680|42774|1103862|16772|1458453|20104|2555937|24634|2048589|28733|3073063|32038|1371028|23501|271743|8726|220206|8731
