county_fips,state,state_name,county_name,class_year,projected_high_school_graduates,likely_college_entrants,likely_four_year_entrants,likely_four_year_entrants_low,likely_four_year_entrants_high,demographic_confidence,county_share_of_state_pool
01001,AL,Alabama,Autauga County,2026,682.053,428.329,285.553,243.107,331.41,High,0.012279072070528
01001,AL,Alabama,Autauga County,2030,582.757,365.971,243.981,207.714,283.162,Moderate,0.011010786592792155
01001,AL,Alabama,Autauga County,2035,619.544,389.074,259.382,220.826,301.036,Moderate,0.011216508917104389
01001,AL,Alabama,Autauga County,2041,631.728,396.725,264.484,225.169,306.957,Low,0.011642189555075108
01003,AL,Alabama,Baldwin County,2026,2586.781,1624.498,1082.999,922.015,1256.917,High,0.04657005944787246
01003,AL,Alabama,Baldwin County,2030,2703.259,1697.647,1131.764,963.532,1313.513,High,0.05107619827801617
01003,AL,Alabama,Baldwin County,2035,2881.809,1809.776,1206.517,1027.173,1400.271,Moderate,0.05217360753071336
01003,AL,Alabama,Baldwin County,2041,3095.38,1943.899,1295.932,1103.297,1504.045,Moderate,0.05704507792868635
01005,AL,Alabama,Barbour County,2026,231.253,145.227,96.818,82.426,112.366,High,0.004163262020487196
01005,AL,Alabama,Barbour County,2030,182.046,114.325,76.216,64.887,88.456,Moderate,0.0034396263734987284
01005,AL,Alabama,Barbour County,2035,176.58,110.892,73.928,62.939,85.8,Moderate,0.0031968836185162206
01005,AL,Alabama,Barbour County,2041,158.538,99.562,66.375,56.508,77.034,Low,0.0029217198779721717
01007,AL,Alabama,Bibb County,2026,195.083,122.512,81.675,69.534,94.791,High,0.003512092895145809
01007,AL,Alabama,Bibb County,2030,180.03,113.059,75.372,64.169,87.476,Moderate,0.0034015381322612696
01007,AL,Alabama,Bibb County,2035,181.801,114.171,76.114,64.8,88.337,Moderate,0.003291405430021407
01007,AL,Alabama,Bibb County,2041,170.066,106.802,71.201,60.617,82.635,Low,0.003134167584779444
01009,AL,Alabama,Blount County,2026,608.219,381.962,254.641,216.79,295.534,High,0.010949826326558732
01009,AL,Alabama,Blount County,2030,564.413,354.451,236.301,201.176,274.248,Moderate,0.010664189587423866
01009,AL,Alabama,Blount County,2035,573.547,360.187,240.125,204.431,278.686,Moderate,0.010383751511896123
01009,AL,Alabama,Blount County,2041,549.545,345.114,230.076,195.876,267.024,Low,0.010127619223434595
01011,AL,Alabama,Bullock County,2026,93.905,58.972,39.315,33.471,45.628,Moderate,0.0016905725235588237
01011,AL,Alabama,Bullock County,2030,73.92,46.422,30.948,26.348,35.918,Moderate,0.0013966684802289141
01011,AL,Alabama,Bullock County,2035,72.915,45.79,30.527,25.989,35.429,Moderate,0.0013200809814425374
01011,AL,Alabama,Bullock County,2041,70.772,44.445,29.63,25.226,34.388,Low,0.001304267878653206
01013,AL,Alabama,Butler County,2026,181.296,113.854,75.903,64.62,88.092,High,0.003263890539647314
01013,AL,Alabama,Butler County,2030,155.693,97.775,65.184,55.494,75.651,Moderate,0.0029417151077955504
01013,AL,Alabama,Butler County,2035,133.352,83.745,55.83,47.531,64.796,Moderate,0.002414261542269394
