state,state_name,projection_year,institution_count,current_undergraduate_enrollment,projected_undergraduate_enrollment,projected_change,projected_pct_change
AK,Alaska,2030,4,19406.0,19048.897,-357.103,-0.018401679892816603
AK,Alaska,2035,4,19406.0,18317.693,-1088.307,-0.056080954344017386
AK,Alaska,2041,4,19406.0,16276.495,-3129.505,-0.16126481500566836
AL,Alabama,2030,32,148138.0,141077.284,-7060.716,-0.0476630979222078
AL,Alabama,2035,32,148138.0,144741.257,-3396.743,-0.022929585926635854
AL,Alabama,2041,32,148138.0,139368.994,-8769.006,-0.05919484534690622
AR,Arkansas,2030,20,84099.0,80221.352,-3877.648,-0.0461081344605766
AR,Arkansas,2035,20,84099.0,80623.089,-3475.911,-0.04133118110797962
AR,Arkansas,2041,20,84099.0,75475.61,-8623.39,-0.10253855574977122
AZ,Arizona,2030,14,135491.0,130560.077,-4930.923,-0.03639299289251674
AZ,Arizona,2035,14,135491.0,131361.604,-4129.396,-0.0304772715530921
AZ,Arizona,2041,14,135491.0,123913.803,-11577.197,-0.08544624366194076
CA,California,2030,122,773450.0,729801.476,-43648.524,-0.056433543215463455
CA,California,2035,122,773450.0,705613.732,-67836.268,-0.08770608054819296
CA,California,2041,122,773450.0,631788.947,-141661.053,-0.18315476501389838
CO,Colorado,2030,20,147069.0,137417.855,-9651.145,-0.06562324487145488
CO,Colorado,2035,20,147069.0,136498.574,-10570.426,-0.07187392312452001
CO,Colorado,2041,20,147069.0,128591.481,-18477.519,-0.12563843502029648
CT,Connecticut,2030,23,96109.0,91803.716,-4305.284,-0.04479584638275258
CT,Connecticut,2035,23,96109.0,92672.815,-3436.185,-0.03575299919882646
CT,Connecticut,2041,23,96109.0,89781.901,-6327.099,-0.06583253389380794
DC,District of Columbia,2030,8,42379.0,47517.403,5138.403,0.1212488024729228
DC,District of Columbia,2035,8,42379.0,49021.678,6642.678,0.15674456688454197
DC,District of Columbia,2041,8,42379.0,42012.619,-366.381,-0.008645343212439927
DE,Delaware,2030,6,32894.0,32865.555,-28.445,-0.0008647473703410347
DE,Delaware,2035,6,32894.0,33758.558,864.558,0.026283151942603666
DE,Delaware,2041,6,32894.0,32109.254,-784.746,-0.023856812792606763
FL,Florida,2030,63,368602.0,355798.066,-12803.934,-0.03473647457148887
FL,Florida,2035,63,368602.0,368620.854,18.854,5.1150020889734193e-05
FL,Florida,2041,63,368602.0,353089.638,-15512.362,-0.042084313161621645
GA,Georgia,2030,50,261362.0,250382.741,-10979.259,-0.04200786265792289
GA,Georgia,2035,50,261362.0,254285.919,-7076.081,-0.02707387072336409
GA,Georgia,2041,50,261362.0,241928.122,-19433.878,-0.07435617266473327
GU,GU,2030,2,3709.0,3529.626,-179.374,-0.04836182259369104
GU,GU,2035,2,3709.0,3533.197,-175.803,-0.04739902938797513
GU,GU,2041,2,3709.0,3300.509,-408.491,-0.11013507684011858
HI,Hawaii,2030,7,27327.0,25140.63,-2186.37,-0.08000768470743214
HI,Hawaii,2035,7,27327.0,23433.554,-3893.446,-0.14247615911003764
HI,Hawaii,2041,7,27327.0,20298.994,-7028.006,-0.25718176162769424
IA,Iowa,2030,32,100603.0,96074.303,-4528.697,-0.045015526375953185
IA,Iowa,2035,32,100603.0,96965.386,-3637.614,-0.03615810661709895
IA,Iowa,2041,32,100603.0,90702.211,-9900.789,-0.09841445086130618
ID,Idaho,2030,8,66687.0,65241.385,-1445.615,-0.02167761332793494
ID,Idaho,2035,8,66687.0,66910.537,223.537,0.0033520326300480185
ID,Idaho,2041,8,66687.0,65217.913,-1469.087,-0.022029585976277244
IL,Illinois,2030,72,270420.0,247669.638,-22750.362,-0.08412973152873338
IL,Illinois,2035,72,270420.0,241456.895,-28963.105,-0.10710415279934937
IL,Illinois,2041,72,270420.0,210883.312,-59536.688,-0.22016377486872307
IN,Indiana,2030,46,225950.0,213889.575,-12060.425,-0.053376521354281836
IN,Indiana,2035,46,225950.0,213590.059,-12359.941,-0.05470210666076536
IN,Indiana,2041,46,225950.0,202299.781,-23650.219,-0.10467014383713213
KS,Kansas,2030,27,90877.0,87783.809,-3093.191,-0.0340371161019839
KS,Kansas,2035,27,90877.0,85088.454,-5788.546,-0.06369649086127394
KS,Kansas,2041,27,90877.0,79307.456,-11569.544,-0.12730992440331435
KY,Kentucky,2030,29,117317.0,106215.899,-11101.101,-0.09462482845623388
KY,Kentucky,2035,29,117317.0,111718.182,-5598.818,-0.047723842239402736
KY,Kentucky,2041,29,117317.0,105633.87,-11683.13,-0.0995859935047777
LA,Louisiana,2030,25,123806.0,117856.719,-5949.281,-0.04805325266949889
LA,Louisiana,2035,25,123806.0,120129.044,-3676.956,-0.029699336058026105
LA,Louisiana,2041,25,123806.0,109643.778,-14162.222,-0.1143904334200283
MA,Massachusetts,2030,78,257560.0,243830.046,-13729.954,-0.05330778847647122
MA,Massachusetts,2035,78,257560.0,245414.189,-12145.811,-0.04715720997049244
MA,Massachusetts,2041,78,257560.0,231027.372,-26532.628,-0.10301532846715344
MD,Maryland,2030,31,153979.0,144681.592,-9297.408,-0.060381012995278316
MD,Maryland,2035,31,153979.0,144982.255,-8996.745,-0.058428389585593044
MD,Maryland,2041,31,153979.0,133645.538,-20333.462,-0.13205347482448904
ME,Maine,2030,18,37329.0,35346.003,-1982.997,-0.05312215703608447
ME,Maine,2035,18,37329.0,36283.388,-1045.612,-0.02801071552948109
ME,Maine,2041,18,37329.0,34180.819,-3148.181,-0.08433606579335096
MI,Michigan,2030,47,276174.0,262874.636,-13299.364,-0.04815574239428744
MI,Michigan,2035,47,276174.0,263665.533,-12508.467,-0.04529197896977977
MI,Michigan,2041,47,276174.0,239020.715,-37153.285,-0.1345285399784194
MN,Minnesota,2030,37,138286.0,132060.21,-6225.79,-0.04502111565885225
MN,Minnesota,2035,37,138286.0,133047.696,-5238.304,-0.03788021925574536
MN,Minnesota,2041,37,138286.0,121088.22,-17197.78,-0.12436385462013544
MO,Missouri,2030,51,189500.0,178692.495,-10807.505,-0.057031688654353485
MO,Missouri,2035,51,189500.0,179008.296,-10491.704,-0.055365192612137015
MO,Missouri,2041,51,189500.0,165248.567,-24251.433,-0.12797589973614776
MS,Mississippi,2030,15,74170.0,67012.181,-7157.819,-0.09650558177160562
MS,Mississippi,2035,15,74170.0,66744.018,-7425.982,-0.10012110017527287
MS,Mississippi,2041,15,74170.0,61610.69,-12559.31,-0.16933140083591736
MT,Montana,2030,9,35181.0,34503.295,-677.705,-0.01926338080213752
MT,Montana,2035,9,35181.0,35650.251,469.251,0.013338193911486274
MT,Montana,2041,9,35181.0,33390.457,-1790.543,-0.050895170688723956
NC,North Carolina,2030,58,241612.0,233001.889,-8610.111,-0.0356361066503319
NC,North Carolina,2035,58,241612.0,239264.528,-2347.472,-0.009715875039319366
NC,North Carolina,2041,58,241612.0,232757.902,-8854.098,-0.036645936460109496
ND,North Dakota,2030,9,30942.0,32010.212,1068.212,0.03452304311292087
ND,North Dakota,2035,9,30942.0,33168.764,2226.764,0.07196574235666708
ND,North Dakota,2041,9,30942.0,29937.38,-1004.62,-0.0324678430612112
NE,Nebraska,2030,23,66045.0,64075.087,-1969.913,-0.02982683019153598
NE,Nebraska,2035,23,66045.0,64280.823,-1764.177,-0.026711741994095206
NE,Nebraska,2041,23,66045.0,59861.007,-6183.993,-0.09363302293890541
NH,New Hampshire,2030,14,78416.0,73848.883,-4567.117,-0.05824215721281345
NH,New Hampshire,2035,14,78416.0,74114.659,-4301.341,-0.05485284890838604
NH,New Hampshire,2041,14,78416.0,70777.1,-7638.9,-0.09741506835339742
NJ,New Jersey,2030,39,188055.0,182840.153,-5214.847,-0.027730435245007956
NJ,New Jersey,2035,39,188055.0,182822.275,-5232.725,-0.027825503177261734
NJ,New Jersey,2041,39,188055.0,177524.903,-10530.097,-0.055994772805827986
NM,New Mexico,2030,9,41929.0,39375.902,-2553.098,-0.06089098237496715
NM,New Mexico,2035,9,41929.0,38000.657,-3928.343,-0.09369035750912258
NM,New Mexico,2041,9,41929.0,34297.38,-7631.62,-0.18201292661403812
NV,Nevada,2030,6,44683.0,42808.99,-1874.01,-0.04194011145178256
NV,Nevada,2035,6,44683.0,43610.853,-1072.147,-0.02399451693037613
NV,Nevada,2041,6,44683.0,39225.204,-5457.796,-0.12214479779782028
NY,New York,2030,171,629007.0,583498.132,-45508.868,-0.07235033632376153
NY,New York,2035,171,629007.0,560525.553,-68481.447,-0.10887231302672329
NY,New York,2041,171,629007.0,504881.576,-124125.424,-0.19733552090835238
OH,Ohio,2030,72,315689.0,300202.941,-15486.059,-0.04905479443376204
