state,state_name,projection_year,institutions_with_finance_data,current_undergraduate_enrollment,projected_undergraduate_enrollment,annual_net_operating_impact_proxy,annual_funding_gap_proxy,baseline_undergraduate_tuition_revenue_proxy,funding_gap_pct_of_tuition_proxy
AK,Alaska,2030,2,17780.0,17434.848,-1167052.577,1167052.577,127898867.6,0.009124807739892766
AK,Alaska,2035,2,17780.0,16788.088,-3353923.542,3353923.542,127898867.6,0.02622324657704788
AK,Alaska,2041,2,17780.0,14943.379,-9591385.447,9591385.447,127898867.6,0.07499194970980338
AL,Alabama,2030,25,146699.0,139706.416,-53569716.211,53569716.211,1459143731.4,0.03671311815156251
AL,Alabama,2035,25,146699.0,143319.336,-27142107.656,27142107.656,1459143731.4,0.018601394140903477
AL,Alabama,2041,25,146699.0,137982.041,-69375077.291,69375077.291,1459143731.4,0.047545060707924164
AR,Arkansas,2030,19,83821.0,79955.989,-14728054.012,14728054.012,503688139.7,0.029240422497881585
AR,Arkansas,2035,19,83821.0,80356.091,-13161664.909,13161664.909,503688139.7,0.026130583334440183
AR,Arkansas,2041,19,83821.0,75225.505,-32727419.586,32727419.586,503688139.7,0.06497556127784282
AZ,Arizona,2030,6,118234.0,113791.92,-39990693.466,39990693.466,1340722493.0,0.029827718767152806
AZ,Arizona,2035,6,118234.0,114433.764,-34931706.709,34931706.709,1340722493.0,0.0260543899959766
AZ,Arizona,2041,6,118234.0,107844.236,-93179986.995,93179986.995,1340722493.0,0.06949983123390473
CA,California,2030,82,762138.0,719209.839,-285915367.271,290415332.857,7969725875.65,0.03643981454171585
CA,California,2035,82,762138.0,695703.294,-469412077.006,475361715.352,7969725875.65,0.059645930458458854
CA,California,2041,82,762138.0,623290.51,-970197241.738,983041134.681,7969725875.65,0.12334691933188034
CO,Colorado,2030,17,145853.0,136291.146,-81325676.809,81325676.809,1745881405.4,0.04658144393855172
CO,Colorado,2035,17,145853.0,135383.435,-88676938.092,88676938.092,1745881405.4,0.05079207431714594
CO,Colorado,2041,17,145853.0,127536.784,-156945809.243,156945809.243,1745881405.4,0.08989488561913059
CT,Connecticut,2030,19,91705.0,87593.365,-41547546.24,42105371.96,1379664469.5,0.030518559324253146
CT,Connecticut,2035,19,91705.0,88414.412,-32485715.24,32997453.87,1379664469.5,0.02391701359241244
CT,Connecticut,2041,19,91705.0,85622.717,-58063659.226,59178731.843,1379664469.5,0.0428935680748862
DC,District of Columbia,2030,8,42379.0,47517.403,74491164.729,0.0,924203037.35,0.0
DC,District of Columbia,2035,8,42379.0,49021.678,97324283.97,0.0,924203037.35,0.0
DC,District of Columbia,2041,8,42379.0,42012.619,-13016151.679,17756547.23,924203037.35,0.019212820681604743
DE,Delaware,2030,4,31335.0,31284.306,-692416.246,1053198.54,389028621.35,0.0027072520688714618
DE,Delaware,2035,4,31335.0,32121.977,6634140.556,0.0,389028621.35,0.0
DE,Delaware,2041,4,31335.0,30544.584,-7476360.005,7568309.531,389028621.35,0.019454377173423874
FL,Florida,2030,40,356299.0,343782.56,-61700203.795,61867869.59,2842445820.95,0.021765716389036602
FL,Florida,2035,40,356299.0,355830.14,23741729.1,16180128.576,2842445820.95,0.005692326114624867
FL,Florida,2041,40,356299.0,340605.846,-49071586.638,61915185.196,2842445820.95,0.021782362477996774
GA,Georgia,2030,43,253100.0,242456.437,-62429497.559,62429497.559,2018816245.6,0.030923813742367485
GA,Georgia,2035,43,253100.0,246211.22,-40339024.508,40339024.508,2018816245.6,0.01998152362599553
GA,Georgia,2041,43,253100.0,234216.406,-110660024.572,110660024.572,2018816245.6,0.05481431250277631
GU,GU,2030,1,3647.0,3470.624,-337918.778,337918.778,13757578.1,0.024562373954468048
GU,GU,2035,1,3647.0,3474.136,-331190.138,331190.138,13757578.1,0.024073287870341072
GU,GU,2041,1,3647.0,3245.337,-769546.142,769546.142,13757578.1,0.05593616379324788
HI,Hawaii,2030,6,27231.0,25052.819,-11107938.664,11212821.537,253168175.2,0.044290012076525796
HI,Hawaii,2035,6,27231.0,23352.759,-19965817.269,20160558.051,253168175.2,0.07963306618248278
HI,Hawaii,2041,6,27231.0,20230.046,-35922605.461,36269072.556,253168175.2,0.14326078910727164
IA,Iowa,2030,27,99561.0,95077.627,-37005816.172,37005816.172,1095441205.15,0.03378165436723073
IA,Iowa,2035,27,99561.0,95955.75,-29472155.388,29472155.388,1095441205.15,0.02690436990086049
IA,Iowa,2041,27,99561.0,89757.219,-80773440.764,80773440.764,1095441205.15,0.07373598910124947
ID,Idaho,2030,7,66544.0,65098.417,-3604714.063,3604714.063,355693657.1,0.010134322024152844
ID,Idaho,2035,7,66544.0,66761.223,3382935.78,616428.73,355693657.1,0.0017330326748747635
ID,Idaho,2041,7,66544.0,65067.934,-523077.627,1908731.783,355693657.1,0.005366223841499027
IL,Illinois,2030,50,261099.0,239254.425,-178943018.695,179545961.905,3262484608.1,0.05503350466672809
IL,Illinois,2035,50,261099.0,233337.22,-227845960.374,228645628.523,3262484608.1,0.0700832819119898
IL,Illinois,2041,50,261099.0,203988.573,-468328331.801,469943386.236,3262484608.1,0.14404462938131218
IN,Indiana,2030,39,213287.0,201919.331,-93506322.258,93506322.258,2497286751.9,0.03744316594274086
IN,Indiana,2035,39,213287.0,201644.291,-95478541.224,95478541.224,2497286751.9,0.038232910638458906
IN,Indiana,2041,39,213287.0,190943.858,-185837685.128,185837685.128,2497286751.9,0.07441583750308606
KS,Kansas,2030,20,88057.0,85048.72,-16827015.665,16827015.665,746217091.85,0.022549759110023788
KS,Kansas,2035,20,88057.0,82460.676,-31680049.48,31680049.48,746217091.85,0.042454199757686766
KS,Kansas,2041,20,88057.0,76859.747,-63250796.333,63250796.333,746217091.85,0.08476192387417773
KY,Kentucky,2030,26,116583.0,105562.08,-67508464.189,67922080.831,988918208.1,0.06868321391462505
