"SUMLEV","STATE","COUNTY","STNAME","CTYNAME","YEAR","AGE","TOT_POP","TOT_MALE","TOT_FEMALE"
050,04,001,"Arizona","Apache County",1,0,873,451,422
050,04,001,"Arizona","Apache County",1,1,872,461,411
050,04,001,"Arizona","Apache County",1,2,905,464,441
050,04,001,"Arizona","Apache County",1,3,915,460,455
050,04,001,"Arizona","Apache County",1,4,932,455,477
050,04,001,"Arizona","Apache County",1,5,919,450,469
050,04,001,"Arizona","Apache County",1,6,884,447,437
050,04,001,"Arizona","Apache County",1,7,946,493,453
050,04,001,"Arizona","Apache County",1,8,894,448,446
050,04,001,"Arizona","Apache County",1,9,969,506,463
050,04,001,"Arizona","Apache County",1,10,996,522,474
050,04,001,"Arizona","Apache County",1,11,973,509,464
050,04,001,"Arizona","Apache County",1,12,1012,485,527
050,04,001,"Arizona","Apache County",1,13,1062,539,523
050,04,001,"Arizona","Apache County",1,14,1039,513,526
050,04,001,"Arizona","Apache County",1,15,1130,559,571
050,04,001,"Arizona","Apache County",1,16,1090,565,525
050,04,001,"Arizona","Apache County",1,17,1036,538,498
050,04,001,"Arizona","Apache County",1,18,1009,497,512
050,04,001,"Arizona","Apache County",1,19,925,475,450
050,04,001,"Arizona","Apache County",1,20,954,474,480
050,04,001,"Arizona","Apache County",1,21,867,399,468
050,04,001,"Arizona","Apache County",1,22,738,391,347
050,04,001,"Arizona","Apache County",1,23,672,352,320
050,04,001,"Arizona","Apache County",1,24,675,368,307
050,04,001,"Arizona","Apache County",1,25,691,315,376
050,04,001,"Arizona","Apache County",1,26,703,361,342
050,04,001,"Arizona","Apache County",1,27,805,425,380
050,04,001,"Arizona","Apache County",1,28,791,422,369
050,04,001,"Arizona","Apache County",1,29,788,440,348
050,04,001,"Arizona","Apache County",1,30,804,412,392
050,04,001,"Arizona","Apache County",1,31,782,398,384
050,04,001,"Arizona","Apache County",1,32,818,428,390
050,04,001,"Arizona","Apache County",1,33,751,383,368
050,04,001,"Arizona","Apache County",1,34,730,374,356
