state,class_year,wiche_state_target,county_projection_sum,difference,relative_difference
AK,2026,8879,8879.000000000004,3.637978807091713e-12,4.440892098500626e-16
AK,2030,8878,8878.0,0.0,0.0
AK,2035,8334,8334.0,0.0,0.0
AK,2041,7170,7170.000000000002,1.8189894035458565e-12,2.220446049250313e-16
AL,2026,55546,55546.00000000001,7.275957614183426e-12,2.220446049250313e-16
AL,2030,52926,52925.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
AL,2035,55235,55235.0,0.0,0.0
AL,2041,54262,54261.999999999985,-1.4551915228366852e-11,-2.220446049250313e-16
AR,2026,35867,35867.00000000001,7.275957614183426e-12,2.220446049250313e-16
AR,2030,34255,34254.999999999985,-1.4551915228366852e-11,-4.440892098500626e-16
AR,2035,34497,34497.0,0.0,0.0
AR,2041,32330,32330.000000000004,3.637978807091713e-12,2.220446049250313e-16
AZ,2026,85942,85942.0,0.0,0.0
AZ,2030,84186,84186.0,0.0,0.0
AZ,2035,85262,85262.0,0.0,0.0
AZ,2041,81428,81428.00000000001,1.4551915228366852e-11,2.220446049250313e-16
CA,2026,466446,466445.9999999998,-1.7462298274040222e-10,-3.3306690738754696e-16
CA,2030,435481,435481.00000000006,5.820766091346741e-11,2.220446049250313e-16
CA,2035,402356,402355.99999999994,-5.820766091346741e-11,-1.1102230246251565e-16
CA,2041,339022,339022.00000000023,2.3283064365386963e-10,6.661338147750939e-16
CO,2026,65391,65390.999999999985,-1.4551915228366852e-11,-2.220446049250313e-16
CO,2030,60300,60300.00000000001,7.275957614183426e-12,2.220446049250313e-16
CO,2035,59557,59556.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
CO,2041,56457,56457.00000000003,2.9103830456733704e-11,4.440892098500626e-16
CT,2026,44448,44448.00000000001,7.275957614183426e-12,2.220446049250313e-16
CT,2030,42528,42527.99999999999,-7.275957614183426e-12,-2.220446049250313e-16
CT,2035,43091,43091.00000000001,7.275957614183426e-12,2.220446049250313e-16
