city_code,name,lat,lon,population_2025,population_2030,population_2041,population_2050,growth_2025_2041,growth_pct_2025_2041,rank_2041,rank_growth_2025_2041,emerging_after_2025,map_visible
7468,Alafaya,28.574118,-81.193795,103.97,108.588,158.701,208.285,54.730999999999995,52.64114648456285,148,72,False,True
8439,Albany,42.660411,-73.784293,92.124,91.951,91.241,90.617,-0.8829999999999956,-0.9584907298858013,239,304,False,True
5743,Albuquerque,35.109421,-106.556033,410.81,416.626,435.655,453.785,24.84499999999997,6.047807989094708,50,125,False,True
8284,Allentown,40.602871,-75.47766,131.61,132.297,135.784,135.692,4.173999999999978,3.1714915279993754,165,222,False,True
4265,Ambler,36.320616,-119.316961,65.539,66.089,111.593,111.988,46.054,70.26961046094692,191,79,False,True
5571,Anchorage,61.200961,-149.825905,139.472,143.963,148.384,152.944,8.911999999999978,6.389813009062735,154,187,False,False
7990,Ann Arbor,42.269034,-83.744143,74.782,73.814,69.551,66.302,-5.2309999999999945,-6.994998796501825,317,326,False,True
2521,Antioch,37.999641,-121.852407,192.502,193.084,192.92,191.44,0.41799999999997794,0.21714060113660008,120,268,False,True
15572,Apple Valley,44.726546,-93.242139,,,,80.099,,,,,False,True
7897,Appleton,44.264311,-88.405751,63.135,63.239,63.364,63.338,0.2289999999999992,0.3627148174546594,348,282,False,True
6413,Arlington,32.720205,-97.086883,311.13,320.773,352.887,373.569,41.757000000000005,13.42107800597821,59,92,False,True
7774,Arlington Heights,42.092734,-87.960937,298.081,297.206,295.324,292.663,-2.757000000000005,-0.9249163817888442,75,318,False,True
8367,Asbury Park,40.207649,-74.024167,64.428,64.63,64.63,64.201,0.20199999999999818,0.3135282796299717,343,283,False,True
14922,Ashborough,32.967003,-80.158928,,,,57.083,,,,,False,True
8130,Ashburn,39.035579,-77.494405,74.481,77.762,83.843,85.642,9.362000000000009,12.56964863522242,260,181,False,True
6605,Asian Trade District,32.877623,-96.866823,66.709,69.815,80.384,84.392,13.674999999999997,20.49948282840396,275,167,False,True
6509,Atascocita,29.993722,-95.178711,62.939,70.516,81.482,93.863,18.543,29.461859896089866,269,149,False,True
7328,Atlanta,33.7897,-84.363856,458.225,506.899,603.823,688.996,145.59799999999996,31.774346663756877,38,22,False,True
5695,Atrisco,35.081715,-106.718298,157.131,161.115,178.407,187.95,21.27600000000001,13.540294404032311,133,140,False,True
14020,Auburn,47.305876,-122.204257,,,56.5,58.366,,,391,,True,True
