path,uncompressed_size_bytes,compressed_size_bytes,is_directory
The Enrollment Squeeze - Copy/.nojekyll,0,0,False
The Enrollment Squeeze - Copy/app.js,14487,4888,False
The Enrollment Squeeze - Copy/assets/plotly.min.js,4842819,1210370,False
The Enrollment Squeeze - Copy/dashboards/future_college_market_dashboard.html,5252087,1283344,False
The Enrollment Squeeze - Copy/dashboards/future_freshman_county_maps.html,26082624,5918336,False
The Enrollment Squeeze - Copy/dashboards/future_freshman_state_maps.html,4927131,1219678,False
The Enrollment Squeeze - Copy/data/context.json,707,448,False
The Enrollment Squeeze - Copy/data/counties.json,2797482,288201,False
The Enrollment Squeeze - Copy/data/generated/build_status.json,695,306,False
The Enrollment Squeeze - Copy/data/generated/ipeds_story.js,594,350,False
The Enrollment Squeeze - Copy/data/institutions.json,3725161,272143,False
The Enrollment Squeeze - Copy/data/international.json,1298,666,False
The Enrollment Squeeze - Copy/data/map_meta.json,55,55,False
The Enrollment Squeeze - Copy/data/national.json,599,232,False
The Enrollment Squeeze - Copy/data/phase1/backtest_summary.csv,366,242,False
The Enrollment Squeeze - Copy/data/phase1/data_dictionary.csv,1012,456,False
The Enrollment Squeeze - Copy/data/phase1/future_freshman_state_maps.html,4927131,1219678,False
The Enrollment Squeeze - Copy/data/phase1/manifest.json,490,289,False
The Enrollment Squeeze - Copy/data/phase1/national_graduate_outlook.csv,232,173,False
The Enrollment Squeeze - Copy/data/phase1/README.md,2491,1319,False
The Enrollment Squeeze - Copy/data/phase1/state_graduate_outlook_2026_2041.csv,16075,6351,False
The Enrollment Squeeze - Copy/data/phase1/state_survival_backtest_predictions.csv,267137,86882,False
The Enrollment Squeeze - Copy/data/phase1/state_survival_ratios.csv,91560,36129,False
The Enrollment Squeeze - Copy/data/phase2/county_age_panel_0_18_2020_2025.csv.gz,1616746,1616746,False
The Enrollment Squeeze - Copy/data/phase2/county_age_transition_ratios.csv,7914852,1997311,False
The Enrollment Squeeze - Copy/data/phase2/county_backtest_predictions.csv.gz,9028112,9028112,False
The Enrollment Squeeze - Copy/data/phase2/county_backtest_summary.csv,1723,851,False
The Enrollment Squeeze - Copy/data/phase2/county_graduate_projections_2026_2041.csv,3561745,1237000,False
The Enrollment Squeeze - Copy/data/phase2/county_pipeline_snapshot_2025.csv,213888,74330,False
The Enrollment Squeeze - Copy/data/phase2/county_projection_state_check.csv,14133,2739,False
The Enrollment Squeeze - Copy/data/phase2/county_projection_wide.csv,825359,346276,False
The Enrollment Squeeze - Copy/data/phase3/county_college_market_2026_2041.csv,1323176,423440,False
The Enrollment Squeeze - Copy/data/phase3/model_assumptions.csv,809,421,False
The Enrollment Squeeze - Copy/data/phase3/national_college_market_2026_2041.csv,499,313,False
The Enrollment Squeeze - Copy/data/phase3/state_college_market_2026_2041.csv,70206,10750,False
The Enrollment Squeeze - Copy/data/phase4/institution_market_exposure_2030_2041.csv,2094181,163948,False
The Enrollment Squeeze - Copy/data/phase4/state_institution_exposure_2030_2041.csv,11682,5058,False
The Enrollment Squeeze - Copy/data/phase5/institution_budget_pressure_2030_2041.csv,2536822,364513,False
The Enrollment Squeeze - Copy/data/phase5/model_validation_summary.csv,851,363,False
The Enrollment Squeeze - Copy/data/phase5/state_budget_pressure_2030_2041.csv,16250,6645,False
The Enrollment Squeeze - Copy/data/states.json,51080,7564,False
The Enrollment Squeeze - Copy/data/state_shapes.json,81543,31950,False
The Enrollment Squeeze - Copy/data_dictionary_phase2.csv,1153,553,False
The Enrollment Squeeze - Copy/data_dictionary_phase3_5.csv,988,479,False
The Enrollment Squeeze - Copy/downloads/data_dictionary.csv,988,479,False
The Enrollment Squeeze - Copy/downloads/future_college_market_financial_model.xlsx,802457,778204,False
The Enrollment Squeeze - Copy/downloads/methodology_model.md,3906,1742,False
The Enrollment Squeeze - Copy/filters-core.js,1403,536,False
The Enrollment Squeeze - Copy/filters.js,10662,3141,False
The Enrollment Squeeze - Copy/financial_model/future_college_market_financial_model.xlsx,802457,778204,False
The Enrollment Squeeze - Copy/financial_model/README.md,811,496,False
The Enrollment Squeeze - Copy/index.html,12111,3635,False
The Enrollment Squeeze - Copy/manifest.json,766,420,False
The Enrollment Squeeze - Copy/manifest_phases3_5.json,766,420,False
The Enrollment Squeeze - Copy/METHODOLOGY_PHASE2.md,2905,1435,False
The Enrollment Squeeze - Copy/METHODOLOGY_PHASE3_5.md,3906,1742,False
The Enrollment Squeeze - Copy/README.md,3004,1442,False
The Enrollment Squeeze - Copy/README_PHASE2.md,1761,957,False
The Enrollment Squeeze - Copy/scripts/build_future_college_market_phases3_5.py,38033,10139,False
The Enrollment Squeeze - Copy/scripts/build_future_college_workbook.py,23605,6517,False
The Enrollment Squeeze - Copy/scripts/build_future_freshman_phase2.py,32748,10120,False
The Enrollment Squeeze - Copy/scripts/build_local_maps.py,2941,1431,False
The Enrollment Squeeze - Copy/scripts/institutional_metrics_v2.py,5057,1736,False
The Enrollment Squeeze - Copy/scripts/__pycache__/institutional_metrics_v2.cpython-313.pyc,6070,3465,False
The Enrollment Squeeze - Copy/site/.github/workflows/pages.yml,633,354,False
The Enrollment Squeeze - Copy/site/BUILD_NOTES.md,1125,660,False
The Enrollment Squeeze - Copy/site/DATA_AUDIT.md,2292,1150,False
The Enrollment Squeeze - Copy/site/README.md,1698,962,False
The Enrollment Squeeze - Copy/site/SOURCES.md,1229,698,False
The Enrollment Squeeze - Copy/sources/raw/census_county_broad_age_2020_2025.csv,10202539,3909705,False
The Enrollment Squeeze - Copy/sources/raw/census_single_age/cc-est2025-syasex-01.csv,2241218,298244,False
