segment,model,observations,actual_population,mean_absolute_error,root_mean_squared_error,weighted_absolute_percentage_error,weighted_bias
All,no_change,169776,219689205,24.382185074558077,113.92336519116797,0.018842572866601126,5.819178555567269e-19
All,raw_county_ratio,169776,219689205,14.548364981735817,37.51924237240912,0.01124298853527728,5.706957260726091e-18
All,shrunk_county_state,169776,219689205,14.3830482624321,37.87679146867502,0.011115231637360935,-3.762301661641031e-18
Small counties (<500 source),no_change,107631,20785402,6.823731848321062,19.214597384585325,0.035334658553471524,0.0019484224427045408
Small counties (<500 source),raw_county_ratio,107631,20785402,6.00734331220139,8.510197348573374,0.03110723420386807,0.0021786149136391463
Small counties (<500 source),shrunk_county_state,107631,20785402,5.811218454886113,10.471226245692906,0.030091660171780527,0.001994902861736785
Mid counties (500-4999),no_change,52288,78046754,35.51096365614562,134.27919876790418,0.023790832705900135,-0.005147298382375188
Mid counties (500-4999),raw_county_ratio,52288,78046754,19.20472996628732,29.942670740871623,0.012866350860373148,0.0019647748441480773
Mid counties (500-4999),shrunk_county_state,52288,78046754,19.22337936915175,31.598199766364576,0.012878845165734974,0.0016682022326557067
Large counties (5000+),no_change,9857,120857049,157.07289266500817,351.940104365966,0.012810733968847656,0.0029889128508871544
Large counties (5000+),raw_county_ratio,9857,120857049,83.10945770786252,136.74503385188828,0.006778337973703138,-0.0016434927656540496
Large counties (5000+),shrunk_county_state,9857,120857049,82.30466549970764,134.9689645983835,0.006712699793212874,-0.0014203774511032537
