county_fips,state_fips,state,state_name,county_name,age_0_4_population,elementary_age_5_10_population,middle_age_11_13_population,high_school_age_14_17_population,class_2030_source_age_13,class_2035_source_age_8,class_2041_source_age_2
01001,01,AL,Alabama,Autauga County,3710,4682,2361,3655,780,777,766
01003,01,AL,Alabama,Baldwin County,13168,17754,9839,13788,3368,2989,2794
01005,01,AL,Alabama,Barbour County,1282,1545,738,1179,249,254,246
01007,01,AL,Alabama,Bibb County,1249,1530,761,1041,249,256,241
01009,01,AL,Alabama,Blount County,3478,4541,2341,3259,782,771,713
01011,01,AL,Alabama,Bullock County,508,602,298,443,107,108,111
01013,01,AL,Alabama,Butler County,949,1261,654,927,220,190,192
01015,01,AL,Alabama,Calhoun County,6364,8186,3980,5612,1375,1404,1271
01017,01,AL,Alabama,Chambers County,1998,2298,1188,1544,389,364,418
01019,01,AL,Alabama,Cherokee County,1154,1648,842,1181,285,267,217
01021,01,AL,Alabama,Chilton County,3025,3626,1839,2693,616,581,626
01023,01,AL,Alabama,Choctaw County,563,764,381,520,130,105,116
01025,01,AL,Alabama,Clarke County,1336,1580,741,1041,243,264,295
01027,01,AL,Alabama,Clay County,791,903,498,711,183,138,154
01029,01,AL,Alabama,Cleburne County,899,1213,614,914,198,201,206
01031,01,AL,Alabama,Coffee County,3394,4290,2325,3398,753,718,692
01033,01,AL,Alabama,Colbert County,3467,4266,2062,3029,716,713,712
01035,01,AL,Alabama,Conecuh County,565,714,361,487,117,108,110
01037,01,AL,Alabama,Coosa County,398,571,311,365,104,82,91
01039,01,AL,Alabama,Covington County,2316,2740,1449,1975,474,471,463
01041,01,AL,Alabama,Crenshaw County,858,917,502,714,180,163,166
01043,01,AL,Alabama,Cullman County,5452,6797,3521,4802,1140,1138,1118
01045,01,AL,Alabama,Dale County,3274,3824,1764,2425,580,675,630
01047,01,AL,Alabama,Dallas County,2170,2390,1309,1905,447,399,409
01049,01,AL,Alabama,DeKalb County,4420,5878,2878,4200,991,967,903
01051,01,AL,Alabama,Elmore County,4819,6074,3287,4715,1103,1044,944
01053,01,AL,Alabama,Escambia County,2124,2656,1370,1980,433,446,441
01055,01,AL,Alabama,Etowah County,5925,7458,3735,5378,1236,1227,1202
01057,01,AL,Alabama,Fayette County,856,1107,608,802,206,188,176
01059,01,AL,Alabama,Franklin County,2313,2637,1350,1907,476,456,468
01061,01,AL,Alabama,Geneva County,1493,1940,994,1414,367,337,320
01063,01,AL,Alabama,Greene County,419,498,231,341,77,82,85
01065,01,AL,Alabama,Hale County,1025,1221,595,770,192,198,188
01067,01,AL,Alabama,Henry County,954,1226,640,921,222,215,200
01069,01,AL,Alabama,Houston County,6668,8195,3945,5820,1362,1354,1362
01071,01,AL,Alabama,Jackson County,2997,3703,1881,2738,662,605,615
01073,01,AL,Alabama,Jefferson County,39120,48071,23870,33681,8019,8037,7801
01075,01,AL,Alabama,Lamar County,812,920,463,711,150,143,184
01077,01,AL,Alabama,Lauderdale County,4746,6134,3168,4408,1059,983,971
01079,01,AL,Alabama,Lawrence County,1885,2420,1211,1753,394,411,397
01081,01,AL,Alabama,Lee County,9935,12393,6642,9178,2174,2189,2100
01083,01,AL,Alabama,Limestone County,7046,9015,4590,6666,1549,1529,1408
01085,01,AL,Alabama,Lowndes County,572,592,277,425,88,97,112
01087,01,AL,Alabama,Macon County,819,887,441,709,143,143,155
