project,area_bucket,district,market_segment,tenure,property_type,bedrooms_mode,median_buy_ttm,median_rent_ttm,gross_yield_ttm,payback_years_ttm,buy_count_ttm,rent_count_ttm,latest_buy_date,latest_rent_date
THE TAPESTRY,180-190,18,OCR,99 yrs lease commencing from 2017,Condominium,,3300000.0,,,,1,0,2025-12-01,
HIGHLINE RESIDENCES,120-130,3,RCR,99 yrs lease commencing from 2013,Condominium,,,,,,0,0,2025-04-01,
TRE RESIDENCES,70-80,14,RCR,99 yrs lease commencing from 2014,Condominium,3,1528888.0,5000.0,3.9244,25.481,3,17,2026-04-01,2026-04-01
WEST BAY CONDOMINIUM,70-80,5,OCR,99 yrs lease commencing from 1991,Condominium,2,,3800.0,,,0,3,2025-05-01,2026-05-01
FLAMINGO VALLEY,50-60,15,OCR,Freehold,Condominium,,980000.0,,,,1,0,2026-06-01,2025-03-01
FAIRMOUNT CONDOMINIUM,110-120,16,OCR,99 yrs lease commencing from 1996,Condominium,,1580000.0,,,,1,0,2026-03-01,
SIN MING PLAZA,190-200,20,,,,,,,,,0,0,,2025-06-01
THE LUCENT,80-90,15,,,,,,,,,0,0,,2025-04-01
D' PALMA,90-100,14,OCR,Freehold,Apartment,3,,4100.0,,,0,1,2025-04-01,2025-12-01
EDEN VIEW,100-110,19,,,,,,,,,0,0,,2025-07-01
RIVERBANK @ FERNVALE,60-70,28,OCR,99 yrs lease commencing from 2013,Condominium,2,1025444.0,3075.0,3.5984,27.79,6,20,2026-05-01,2026-05-01
CENTRAL IMPERIAL,70-80,14,,,,3,,4050.0,,,0,6,,2026-04-01
ISUITES @ MARSHALL,40-50,15,,,,1,,2600.0,,,0,1,,2026-03-01
SUNSTONE RESIDENCES,30-40,14,,,,1,,2325.0,,,0,2,,2026-01-01
THE CHUAN,150-160,19,OCR,999 yrs lease commencing from 1877,Condominium,4,,9400.0,,,0,4,2025-04-01,2026-04-01
THE BENCOOLEN,70-80,7,RCR,99 yrs lease commencing from 1995,Apartment,2,1308888.0,4600.0,4.2173,23.712,1,17,2025-11-01,2026-05-01
NV RESIDENCES,80-90,18,OCR,99 yrs lease commencing from 2008,Condominium,2,1196500.0,3500.0,3.5102,28.488,2,31,2025-10-01,2026-05-01
THE PATERSON,110-120,9,CCR,Freehold,Condominium,2,2938000.0,6300.0,2.5732,38.862,1,9,2026-03-01,2026-04-01
MEADOWS @ PEIRCE,110-120,26,OCR,Freehold,Condominium,3,2059000.0,4150.0,2.4186,41.345,2,18,2026-06-01,2026-04-01
SUNNY PALMS,120-130,15,OCR,Freehold,Condominium,3,1755000.0,4300.0,2.9402,34.012,1,1,2026-01-01,2025-09-01
CASA PASIR RIS,90-100,17,,,,,,,,,0,0,,2025-05-01
URBAN LOFTS,60-70,8,,,,1,,3350.0,,,0,4,,2026-05-01
CANDEVILLE,120-130,15,OCR,Freehold,Apartment,,2058888.0,,,,1,0,2026-02-01,
MELROSE PARK,110-120,10,,,,3,,7000.0,,,0,3,,2026-01-01
LE REGAL,30-40,14,RCR,Freehold,Apartment,1,628000.0,2500.0,4.7771,20.933,1,26,2025-10-01,2026-05-01
1919,70-80,9,CCR,Freehold,Apartment,2,1560000.0,4650.0,3.5769,27.957,2,7,2025-12-01,2026-04-01
THE WATERGARDENS AT CANBERRA,100-110,27,OCR,99 yrs lease commencing from 2020,Apartment,3,1915000.0,4550.0,2.8512,35.073,6,8,2026-05-01,2026-05-01
FONTAINE PARRY,100-110,19,,,,2,,3500.0,,,0,3,,2025-12-01
BOATHOUSE RESIDENCES,50-60,19,OCR,99 yrs lease commencing from 2011,Condominium,1,806500.0,2800.0,4.1662,24.003,2,9,2026-05-01,2026-03-01
LIANG SEAH COURT,90-100,7,,,,NA,,4700.0,,,0,3,,2026-03-01
EDENZ LOFT,40-50,14,RCR,Freehold,Apartment,1,630000.0,2625.0,5.0,20.0,1,10,2026-01-01,2026-05-01
OXLEY RESIDENCE,230-240,9,,,,4,,13000.0,,,0,3,,2026-01-01
THE TREVOSE,110-120,11,,,,3,,6000.0,,,0,2,,2026-01-01
FLAME TREE PARK,140-150,20,RCR,Freehold,Condominium,3,3350000.0,4800.0,1.7194,58.16,1,5,2026-06-01,2026-03-01
BLUWATERS 2,230-240,17,,,,,,,,,0,0,,2025-03-01
AQUENE,60-70,15,OCR,Freehold,Apartment,2,1200000.0,3850.0,3.85,25.974,1,4,2026-06-01,2026-05-01
HILLTOP GROVE,90-100,23,OCR,99 yrs lease commencing from 1996,Condominium,,1098000.0,,,,1,0,2026-05-01,
NORTHWAVE,60-70,25,OCR,99 yrs lease commencing from 2015,Executive Condominium,2,1035000.0,3300.0,3.8261,26.136,3,11,2026-04-01,2026-04-01
LOFT@HOLLAND,40-50,10,CCR,Freehold,Apartment,1,980000.0,4400.0,5.3878,18.561,1,2,2025-10-01,2026-05-01
ST PATRICK'S LOFT,140-150,15,OCR,Freehold,Apartment,,,,,,0,0,2025-07-01,
SARKIES GREEN,80-90,10,,,,1,,4100.0,,,0,2,,2026-04-01
THE CALLISTA,120-130,12,RCR,999 yrs lease commencing from 1882,Apartment,3,,4200.0,,,0,1,2025-07-01,2025-11-01
THE GAZANIA,50-60,19,,,,2,,3750.0,,,0,12,,2026-05-01
THE CANOPY,80-90,27,OCR,99 yrs lease commencing from 2010,Executive Condominium,2,1060000.0,3700.0,4.1887,23.874,1,5,2025-11-01,2026-05-01
MENDON SPRING,90-100,5,RCR,Freehold,Apartment,2,1595000.0,4700.0,3.5361,28.28,1,11,2026-04-01,2026-05-01
AMO RESIDENCE,100-110,20,OCR,99 yrs lease commencing from 2021,Apartment,,2930000.0,,,,5,0,2026-06-01,
CHANCERY COURT,80-90,11,,,,2,,4450.0,,,0,56,,2026-05-01
THE BAYRON,80-90,9,,,,2,,4300.0,,,0,5,,2026-05-01
STARVILLE,140-150,14,OCR,Freehold,Condominium,4,2120000.0,5000.0,2.8302,35.333,1,1,2026-04-01,2026-01-01
PATERSON RESIDENCE,>300,9,,,,5,,17000.0,,,0,4,,2026-05-01
GRAND DUCHESS AT ST PATRICK'S,170-180,15,OCR,Freehold,Condominium,4,4050000.0,8625.0,2.5556,39.13,1,1,2026-04-01,2026-05-01
THE AMARELLE,40-50,15,,,,1,,2975.0,,,0,2,,2025-09-01
NOVA 48,110-120,12,,,,3,,5650.0,,,0,2,,2025-10-01
ROSELANE COURT,110-120,15,,,,,,,,,0,0,,2025-03-01
BELLERIVE,110-120,10,,,,3,,5500.0,,,0,1,,2025-08-01
TANGLIN HILL CONDOMINIUM,150-160,10,,,,3,,6800.0,,,0,1,,2025-12-01
NON-LANDED HOUSING DEVELOPMENT,70-80,13,,,,NA,,3882.0,,,0,120,,2026-05-01
1 CANBERRA,130-140,27,OCR,99 yrs lease commencing from 2012,Executive Condominium,4,,2000.0,,,0,1,2025-06-01,2025-09-01
RIVER ISLES,180-190,19,OCR,99 yrs lease commencing from 2012,Condominium,,,,,,0,0,2025-03-01,2025-01-01
ROBIN REGALIA,120-130,10,,,,,,,,,0,0,,2025-03-01
THE CREST,120-130,3,RCR,99 yrs lease commencing from 2012,Condominium,3,2629000.0,6850.0,3.1267,31.983,4,4,2026-04-01,2026-05-01
FORTE SUITES,50-60,8,RCR,Freehold,Apartment,2,1290000.0,3800.0,3.5349,28.289,1,21,2026-01-01,2026-05-01
PARKVIEW APARTMENTS,130-140,23,,,,,,,,,0,0,,2025-07-01
MERAWOODS,90-100,23,OCR,999 yrs lease commencing from 1885,Condominium,2,1476944.0,3350.0,2.7218,36.74,2,10,2025-11-01,2026-05-01
ST REGIS RESIDENCES SINGAPORE,180-190,10,,,,4,,11500.0,,,0,2,,2025-11-01
THE ALCOVE,90-100,14,,,,2,,3600.0,,,0,1,,2026-03-01
TEACHER'S HOUSING ESTATE,110-120,26,,,,NA,,4350.0,,,0,2,,2026-05-01
ONE JERVOIS,160-170,10,,,,4,,8350.0,,,0,2,,2026-05-01
LE WOOD,100-110,21,,,,2,,3900.0,,,0,3,,2026-05-01
ALESSANDREA,100-110,3,RCR,Freehold,Apartment,3,2180000.0,4800.0,2.6422,37.847,3,10,2026-05-01,2026-05-01
PARC LIFE,100-110,27,OCR,99 yrs lease commencing from 2014,Executive Condominium,3,1588000.0,4250.0,3.2116,31.137,5,2,2026-06-01,2026-05-01
SPRING GROVE,150-160,10,CCR,99 yrs lease commencing from 1991,Condominium,4,3100000.0,8500.0,3.2903,30.392,1,5,2026-06-01,2026-04-01
ORCHID PARK CONDOMINIUM,150-160,27,,,,4,,4700.0,,,0,2,,2026-02-01
VACANZA @ EAST,40-50,14,OCR,Freehold,Condominium,1,744444.0,2600.0,4.191,23.86,2,20,2026-03-01,2026-04-01
TREVISTA,80-90,12,RCR,99 yrs lease commencing from 2008,Condominium,2,1800000.0,4300.0,2.8667,34.884,3,13,2026-03-01,2026-03-01
STARVILLE,110-120,14,OCR,Freehold,Condominium,3,1738880.0,4300.0,2.9674,33.699,5,19,2026-06-01,2026-05-01
CHANCERY PARK,220-230,11,,,,,,,,,0,0,,2025-04-01
D'ECOSIA,60-70,15,,,,,,,,,0,0,,2025-02-01
ONZE @ TANJONG PAGAR,100-110,2,,,,3,,4100.0,,,0,3,,2026-03-01
THE MERCURY,90-100,10,CCR,Freehold,Apartment,2,,5750.0,,,0,9,2025-05-01,2026-04-01
BELYSA,100-110,18,OCR,99 yrs lease commencing from 2011,Executive Condominium,3,1564000.0,4125.0,3.165,31.596,4,4,2026-04-01,2026-02-01
VICTORY 8,40-50,27,,,,1,,2800.0,,,0,2,,2026-04-01
CHARISMA VIEW,90-100,21,,,,2,,3900.0,,,0,1,,2025-10-01
THE MINTON,90-100,19,OCR,99 yrs lease commencing from 2007,Condominium,2,1508888.0,4000.0,3.1812,31.435,9,47,2026-01-01,2026-05-01
THE SERENNIA,60-70,15,RCR,Freehold,Apartment,,500000.0,,,,1,0,2026-05-01,
TANGERINE GROVE,190-200,19,,,,4,,6000.0,,,0,2,,2025-11-01
CASABELLA,290-300,10,,,,4,,9000.0,,,0,1,,2025-10-01
