project,area_bucket,district,tenure,propertyType,avg_buy,most_recent_buy,avg_buy_2020,avg_buy_2021,avg_buy_2022,avg_buy_2023,avg_buy_2024,avg_buy_2025,avg_rent,most_recent_rent,avg_rent_2020,avg_rent_2021,avg_rent_2022,avg_rent_2023,avg_rent_2024,avg_rent_2025,ROI,market_segment,most_recent_buy_date,most_recent_rent_date,buy_count_ttm,rent_count_ttm,avg_buy_2026,avg_rent_2026
# 1 LOFT,100-150,14.0,Freehold,Apartment,1127000.0,1154000.0,,1127000.0,,,,,,,,,,,,,,,,,,,,
# 1 LOFT,120-130,14,Freehold,Apartment,1580000.0,1580000.0,,,,,,,4206.25,4500.0,,3375.0,4000.0,4800.0,4650.0,,29.25925926,RCR,2026-01-01,,1,0,1580000.0,
# 1 LOFT,40-50,,,,,,,,,,,,2656.25,2800.0,,,,2600.0,2712.5,,,,,,,,,
# 1 LOFT,50-60,14,Freehold,Apartment,714611.507937,730000.0,652666.6666666666,675169.7142857143,704222.0,770000.0,747666.6666666666,737944.0,2606.109681,3000.0,2000.0,2037.0967741935483,2521.4285714285716,3246.6666666666665,2691.6666666666665,3065.909091,20.27777778,RCR,2025-09-01,2026-05-01,1,18,,2680.0
# 1 LOFT,60-70,14,,,,,,,,,,,2833.333333,3200.0,,2100.0,,3200.0,,3200.0,,,,2025-06-01,0,0,,
# 1 LOFT,80-90,14,Freehold,Apartment,1225000.0,1300000.0,,,,1150000.0,,1300000.0,3050.0,3300.0,,,,,2800.0,3300.0,32.82828283,RCR,2025-12-01,2025-02-01,1,0,,
# 1 LOFT,90-100,14,,,,,,,,,,,3293.75,3300.0,,3200.0,3350.0,,3325.0,3300.0,,,,2025-05-01,0,0,,
# 1 SUITES,40-50,,,,,,,,,,,,2905.0,3100.0,,,,2610.0,3200.0,,,,,,,,,
# 1 SUITES,50-60,14,Freehold,Apartment,712580.619048,745000.0,,660750.0,693285.7142857143,731800.0,730500.0,709148.0,3072.750579,3500.0,,2150.344827586207,2597.7272727272725,3511.904761904762,3331.764705882353,3338.095238,17.73809524,RCR,2026-04-01,2026-05-01,5,24,750000.0,3506.666667
# 1 SUITES,60-70,14,Freehold,Apartment,737750.0,818000.0,685000.0,735000.0,713000.0,,818000.0,,2925.0,3200.0,,1950.0,1975.0,3850.0,3400.0,3450.0,21.30208333,,,2025-11-01,0,3,,
# 1 SUITES,70-80,14.0,Freehold,Apartment,780000.0,780000.0,,780000.0,,,,,,,,,,,,,,,,,,,,
1 CANBERRA,100-150,27.0,99 yrs lease commencing from 2012,Executive Condominium,1320651.172063,1638888.0,1107974.4,1166428.5714285714,1284600.0,1493500.0,1550752.888888889,,,,,,,,,,,,,,,,,
