student_id,gender,adult_learner_flag,family_support_flag,dependents_flag,student_lifecycle_months,mobile_contactable_flag,multi_channel_contact_flag,digital_access_type,academic_support_flag,study_resources_flag,device_readiness_flag,advising_support_flag,co_curricular_content_flag,career_content_flag,enrollment_commitment_type,digital_self_service_flag,payment_plan_type,monthly_student_bill,cumulative_student_bill,actual_dropout_flag,engagement_services_count,engagement_index,attrition_risk_score
CRM-00001,Female,0,1,0,1,0,0,Standard bandwidth,0,1,0,0,0,0,Open enrollment,1,Electronic check,29.85,29.85,0,2,27.8,92.0
CRM-00002,Male,0,0,0,34,1,0,Standard bandwidth,1,0,1,0,0,0,Annual commitment,0,Mailed check,56.95,1889.5,0,3,26.7,12.0
CRM-00003,Male,0,0,0,2,1,0,Standard bandwidth,1,1,0,0,0,0,Open enrollment,1,Mailed check,53.85,108.15,1,4,45.6,72.0
CRM-00004,Male,0,0,0,45,0,0,Standard bandwidth,1,0,1,1,0,0,Annual commitment,0,Bank transfer (automatic),42.3,1840.75,0,3,26.7,0.0
CRM-00005,Female,0,0,0,2,1,0,High bandwidth,0,0,0,0,0,0,Open enrollment,1,Electronic check,70.7,151.65,1,2,27.8,100.0
CRM-00006,Female,0,0,0,8,1,1,High bandwidth,0,0,1,0,1,1,Open enrollment,1,Electronic check,99.65,820.5,1,6,73.3,90.0
CRM-00007,Male,0,0,1,22,1,1,High bandwidth,0,1,0,0,1,0,Open enrollment,1,Credit card (automatic),89.1,1949.4,0,5,64.4,95.0
CRM-00008,Female,0,0,0,10,0,0,Standard bandwidth,1,0,0,0,0,0,Open enrollment,0,Mailed check,29.75,301.9,0,1,8.9,72.0
CRM-00009,Female,0,1,0,28,1,1,High bandwidth,0,0,1,1,1,1,Open enrollment,1,Electronic check,104.8,3046.05,1,7,82.2,73.0
CRM-00010,Male,0,0,1,62,1,0,Standard bandwidth,1,1,0,0,0,0,Annual commitment,0,Bank transfer (automatic),56.15,3487.95,0,3,26.7,22.0
CRM-00011,Male,0,1,1,13,1,0,Standard bandwidth,1,0,0,0,0,0,Open enrollment,1,Mailed check,49.95,587.45,0,3,36.7,67.0
CRM-00012,Male,0,0,0,16,1,0,Limited access,0,0,0,0,0,0,Multi-year commitment,0,Credit card (automatic),18.95,326.8,0,1,8.9,42.0
CRM-00013,Male,0,1,0,58,1,1,High bandwidth,0,0,1,0,1,1,Annual commitment,0,Credit card (automatic),100.35,5681.1,0,5,54.4,40.0
CRM-00014,Male,0,0,0,49,1,1,High bandwidth,0,1,1,0,1,1,Open enrollment,1,Bank transfer (automatic),103.7,5036.3,1,7,82.2,85.0
CRM-00015,Male,0,0,0,25,1,0,High bandwidth,1,0,1,1,1,1,Open enrollment,1,Electronic check,105.5,2686.05,0,7,72.2,53.0
CRM-00016,Female,0,1,1,69,1,1,High bandwidth,1,1,1,1,1,1,Multi-year commitment,0,Credit card (automatic),113.25,7895.15,0,8,81.1,8.0
CRM-00017,Female,0,0,0,52,1,0,Limited access,0,0,0,0,0,0,Annual commitment,0,Mailed check,20.65,1022.95,0,1,8.9,42.0
CRM-00018,Male,0,0,1,71,1,1,High bandwidth,1,0,1,0,1,1,Multi-year commitment,0,Bank transfer (automatic),106.7,7382.25,0,6,63.3,20.0
CRM-00019,Female,0,1,1,10,1,0,Standard bandwidth,0,0,1,1,0,0,Open enrollment,0,Credit card (automatic),55.2,528.35,1,3,26.7,70.0
CRM-00020,Female,0,0,0,21,1,0,High bandwidth,0,1,1,0,0,1,Open enrollment,1,Electronic check,90.05,1862.9,0,5,54.4,85.0
CRM-00021,Male,1,0,0,1,0,0,Standard bandwidth,0,0,1,0,0,1,Open enrollment,1,Electronic check,39.65,39.65,1,3,36.7,82.0
CRM-00022,Male,0,1,0,12,1,0,Limited access,0,0,0,0,0,0,Annual commitment,0,Bank transfer (automatic),19.8,202.25,0,1,8.9,42.0
CRM-00023,Male,0,0,0,1,1,0,Limited access,0,0,0,0,0,0,Open enrollment,0,Mailed check,20.15,20.15,1,1,8.9,92.0
CRM-00024,Female,0,1,0,58,1,1,Standard bandwidth,0,1,0,1,0,0,Multi-year commitment,1,Credit card (automatic),59.9,3505.1,0,5,64.4,30.0
CRM-00025,Male,0,1,1,49,1,0,Standard bandwidth,1,1,0,1,0,0,Open enrollment,0,Credit card (automatic),59.6,2970.3,0,4,35.6,55.0
CRM-00026,Female,0,0,0,30,1,0,Standard bandwidth,1,1,0,0,0,0,Open enrollment,1,Bank transfer (automatic),55.3,1530.6,0,4,45.6,67.0
CRM-00027,Male,0,1,1,47,1,1,High bandwidth,0,1,0,0,1,1,Open enrollment,1,Electronic check,99.35,4749.15,1,6,73.3,95.0
CRM-00028,Male,0,1,1,1,0,0,Standard bandwidth,0,1,0,0,0,0,Open enrollment,0,Electronic check,30.2,30.2,1,1,8.9,92.0
CRM-00029,Male,0,1,0,72,1,1,Standard bandwidth,1,1,1,1,1,1,Multi-year commitment,1,Credit card (automatic),90.25,6369.45,0,9,100.0,8.0
CRM-00030,Female,0,0,1,17,1,0,Standard bandwidth,0,0,0,0,1,1,Open enrollment,1,Mailed check,64.7,1093.1,1,4,45.6,87.0
CRM-00031,Female,1,1,0,71,1,1,High bandwidth,1,1,1,1,0,0,Multi-year commitment,1,Credit card (automatic),96.35,6766.95,0,7,82.2,8.0
CRM-00032,Male,1,1,0,2,1,0,High bandwidth,0,0,1,0,1,1,Open enrollment,1,Credit card (automatic),95.5,181.65,0,5,54.4,90.0
CRM-00033,Female,0,1,1,27,1,0,Standard bandwidth,1,1,1,1,0,0,Annual commitment,0,Mailed check,66.15,1874.45,0,5,44.4,0.0
CRM-00034,Male,0,0,0,1,1,0,Limited access,0,0,0,0,0,0,Open enrollment,0,Bank transfer (automatic),20.2,20.2,0,1,8.9,92.0
CRM-00035,Male,1,0,0,1,1,0,Standard bandwidth,0,0,0,0,0,0,Open enrollment,0,Bank transfer (automatic),45.25,45.25,0,1,8.9,92.0
CRM-00036,Female,0,1,1,72,1,1,High bandwidth,1,1,0,1,1,0,Multi-year commitment,0,Bank transfer (automatic),99.9,7251.7,0,6,63.3,18.0
CRM-00037,Male,0,0,0,5,1,0,High bandwidth,0,0,0,0,0,0,Open enrollment,1,Electronic check,69.7,316.9,1,2,27.8,92.0
CRM-00038,Female,0,0,0,46,1,0,High bandwidth,0,0,1,0,0,0,Open enrollment,1,Credit card (automatic),74.8,3548.3,0,3,36.7,85.0
CRM-00039,Male,0,0,0,34,1,1,High bandwidth,0,1,1,0,1,1,Open enrollment,1,Electronic check,106.35,3549.25,1,7,82.2,85.0
CRM-00040,Female,0,0,0,11,1,1,High bandwidth,0,0,1,0,1,1,Open enrollment,1,Bank transfer (automatic),97.85,1105.4,1,6,73.3,90.0
CRM-00041,Male,0,1,1,10,1,0,Standard bandwidth,0,1,0,0,0,0,Annual commitment,0,Mailed check,49.55,475.7,0,2,17.8,47.0
CRM-00042,Female,0,1,1,70,1,1,Standard bandwidth,1,1,0,0,1,0,Multi-year commitment,1,Credit card (automatic),69.2,4872.35,0,6,73.3,22.0
CRM-00043,Female,0,1,1,17,1,0,Limited access,0,0,0,0,0,0,Annual commitment,0,Mailed check,20.75,418.25,0,1,8.9,42.0
CRM-00044,Female,0,0,0,63,1,1,Standard bandwidth,1,1,1,1,1,0,Multi-year commitment,1,Credit card (automatic),79.85,4861.45,0,8,91.1,8.0
CRM-00045,Female,0,1,0,13,1,1,Standard bandwidth,1,1,0,1,1,0,Open enrollment,1,Electronic check,76.2,981.45,0,7,82.2,63.0
CRM-00046,Female,0,0,0,49,1,1,High bandwidth,0,0,0,0,0,1,Open enrollment,1,Electronic check,84.5,3906.7,0,4,55.6,95.0
