student_id,gender,adult_learner_flag,family_support_flag,dependents_flag,mobile_contactable_flag,multi_channel_contact_flag,digital_access_type,enrollment_commitment_type,digital_self_service_flag,payment_plan_type,monthly_student_bill,actual_dropout_flag
CRM-00001,Female,0,1,0,0,0,Standard bandwidth,Open enrollment,1,Electronic check,29.85,0
CRM-00002,Male,0,0,0,1,0,Standard bandwidth,Annual commitment,0,Mailed check,56.95,0
CRM-00003,Male,0,0,0,1,0,Standard bandwidth,Open enrollment,1,Mailed check,53.85,1
CRM-00004,Male,0,0,0,0,0,Standard bandwidth,Annual commitment,0,Bank transfer (automatic),42.3,0
CRM-00005,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,70.7,1
CRM-00006,Female,0,0,0,1,1,High bandwidth,Open enrollment,1,Electronic check,99.65,1
CRM-00007,Male,0,0,1,1,1,High bandwidth,Open enrollment,1,Credit card (automatic),89.1,0
CRM-00008,Female,0,0,0,0,0,Standard bandwidth,Open enrollment,0,Mailed check,29.75,0
CRM-00009,Female,0,1,0,1,1,High bandwidth,Open enrollment,1,Electronic check,104.8,1
CRM-00010,Male,0,0,1,1,0,Standard bandwidth,Annual commitment,0,Bank transfer (automatic),56.15,0
CRM-00011,Male,0,1,1,1,0,Standard bandwidth,Open enrollment,1,Mailed check,49.95,0
CRM-00012,Male,0,0,0,1,0,Limited access,Multi-year commitment,0,Credit card (automatic),18.95,0
CRM-00013,Male,0,1,0,1,1,High bandwidth,Annual commitment,0,Credit card (automatic),100.35,0
CRM-00014,Male,0,0,0,1,1,High bandwidth,Open enrollment,1,Bank transfer (automatic),103.7,1
CRM-00015,Male,0,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,105.5,0
CRM-00016,Female,0,1,1,1,1,High bandwidth,Multi-year commitment,0,Credit card (automatic),113.25,0
CRM-00017,Female,0,0,0,1,0,Limited access,Annual commitment,0,Mailed check,20.65,0
CRM-00018,Male,0,0,1,1,1,High bandwidth,Multi-year commitment,0,Bank transfer (automatic),106.7,0
CRM-00019,Female,0,1,1,1,0,Standard bandwidth,Open enrollment,0,Credit card (automatic),55.2,1
CRM-00020,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,90.05,0
CRM-00021,Male,1,0,0,0,0,Standard bandwidth,Open enrollment,1,Electronic check,39.65,1
CRM-00022,Male,0,1,0,1,0,Limited access,Annual commitment,0,Bank transfer (automatic),19.8,0
CRM-00023,Male,0,0,0,1,0,Limited access,Open enrollment,0,Mailed check,20.15,1
CRM-00024,Female,0,1,0,1,1,Standard bandwidth,Multi-year commitment,1,Credit card (automatic),59.9,0
CRM-00025,Male,0,1,1,1,0,Standard bandwidth,Open enrollment,0,Credit card (automatic),59.6,0
CRM-00026,Female,0,0,0,1,0,Standard bandwidth,Open enrollment,1,Bank transfer (automatic),55.3,0
CRM-00027,Male,0,1,1,1,1,High bandwidth,Open enrollment,1,Electronic check,99.35,1
CRM-00028,Male,0,1,1,0,0,Standard bandwidth,Open enrollment,0,Electronic check,30.2,1
CRM-00029,Male,0,1,0,1,1,Standard bandwidth,Multi-year commitment,1,Credit card (automatic),90.25,0
CRM-00030,Female,0,0,1,1,0,Standard bandwidth,Open enrollment,1,Mailed check,64.7,1
CRM-00031,Female,1,1,0,1,1,High bandwidth,Multi-year commitment,1,Credit card (automatic),96.35,0
CRM-00032,Male,1,1,0,1,0,High bandwidth,Open enrollment,1,Credit card (automatic),95.5,0
CRM-00033,Female,0,1,1,1,0,Standard bandwidth,Annual commitment,0,Mailed check,66.15,0
CRM-00034,Male,0,0,0,1,0,Limited access,Open enrollment,0,Bank transfer (automatic),20.2,0
CRM-00035,Male,1,0,0,1,0,Standard bandwidth,Open enrollment,0,Bank transfer (automatic),45.25,0
CRM-00036,Female,0,1,1,1,1,High bandwidth,Multi-year commitment,0,Bank transfer (automatic),99.9,0
CRM-00037,Male,0,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,69.7,1
CRM-00038,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Credit card (automatic),74.8,0
CRM-00039,Male,0,0,0,1,1,High bandwidth,Open enrollment,1,Electronic check,106.35,1
CRM-00040,Female,0,0,0,1,1,High bandwidth,Open enrollment,1,Bank transfer (automatic),97.85,1
CRM-00041,Male,0,1,1,1,0,Standard bandwidth,Annual commitment,0,Mailed check,49.55,0
CRM-00042,Female,0,1,1,1,1,Standard bandwidth,Multi-year commitment,1,Credit card (automatic),69.2,0
CRM-00043,Female,0,1,1,1,0,Limited access,Annual commitment,0,Mailed check,20.75,0
CRM-00044,Female,0,0,0,1,1,Standard bandwidth,Multi-year commitment,1,Credit card (automatic),79.85,0
CRM-00045,Female,0,1,0,1,1,Standard bandwidth,Open enrollment,1,Electronic check,76.2,0
CRM-00046,Female,0,0,0,1,1,High bandwidth,Open enrollment,1,Electronic check,84.5,0
CRM-00047,Male,0,0,0,1,0,Standard bandwidth,Open enrollment,0,Mailed check,49.25,0
CRM-00048,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,80.65,1
CRM-00049,Male,0,0,0,1,1,Standard bandwidth,Multi-year commitment,1,Credit card (automatic),79.75,0
CRM-00050,Female,0,1,1,1,1,Standard bandwidth,Multi-year commitment,1,Credit card (automatic),64.15,0
CRM-00051,Female,1,0,0,1,1,High bandwidth,Open enrollment,1,Electronic check,90.25,0
CRM-00052,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Credit card (automatic),99.1,1
CRM-00053,Female,1,1,0,1,1,Standard bandwidth,Open enrollment,1,Credit card (automatic),69.5,0
CRM-00054,Female,1,1,0,1,1,High bandwidth,Open enrollment,1,Credit card (automatic),80.65,1
CRM-00055,Female,1,1,1,1,0,Standard bandwidth,Annual commitment,1,Credit card (automatic),74.85,0
CRM-00056,Male,1,0,0,1,1,High bandwidth,Open enrollment,1,Electronic check,95.45,1
CRM-00057,Female,0,1,1,1,1,High bandwidth,Annual commitment,1,Credit card (automatic),99.65,0
CRM-00058,Male,1,1,1,1,1,High bandwidth,Annual commitment,1,Electronic check,108.45,0
CRM-00059,Female,0,1,1,1,1,Limited access,Multi-year commitment,0,Credit card (automatic),24.95,0
CRM-00060,Female,0,0,0,1,1,High bandwidth,Multi-year commitment,1,Credit card (automatic),107.5,0
CRM-00061,Female,0,1,0,1,1,High bandwidth,Open enrollment,1,Electronic check,100.5,0
CRM-00062,Male,0,0,0,1,1,High bandwidth,Open enrollment,1,Bank transfer (automatic),89.9,0
CRM-00063,Male,0,1,0,0,0,Standard bandwidth,Multi-year commitment,0,Bank transfer (automatic),42.1,0
CRM-00064,Female,0,1,1,1,0,Standard bandwidth,Annual commitment,1,Credit card (automatic),54.4,0
CRM-00065,Female,0,0,0,1,1,High bandwidth,Open enrollment,0,Electronic check,94.4,1
CRM-00066,Female,0,0,0,1,0,Standard bandwidth,Open enrollment,1,Electronic check,75.3,0
CRM-00067,Male,0,1,0,1,1,High bandwidth,Annual commitment,1,Electronic check,78.9,0
CRM-00068,Female,0,0,0,1,0,Standard bandwidth,Multi-year commitment,0,Mailed check,79.2,0
CRM-00069,Female,0,1,1,1,0,Limited access,Multi-year commitment,0,Bank transfer (automatic),20.15,0
CRM-00070,Male,0,0,0,1,0,High bandwidth,Open enrollment,1,Mailed check,79.85,0
CRM-00071,Male,0,0,0,1,0,Standard bandwidth,Open enrollment,0,Mailed check,49.05,0
CRM-00072,Female,0,1,1,1,0,Limited access,Annual commitment,1,Electronic check,20.4,0
CRM-00073,Male,1,1,1,1,1,High bandwidth,Multi-year commitment,1,Bank transfer (automatic),111.6,0
