origin,destination,participants
Italy,Spain,217003
France,Spain,188118
Spain,Italy,186180
Germany,Spain,143778
Germany,France,101737
Poland,Spain,98648
France,Germany,93891
France,Italy,92621
Spain,France,86843
Germany,United Kingdom,86113
Italy,France,85814
France,United Kingdom,81281
Spain,Germany,76104
Germany,Italy,75855
Italy,Germany,74474
Poland,Italy,72896
Spain,Portugal,70460
France,Ireland,68357
Türkiye,Germany,62349
Spain,Poland,61065
United Kingdom,Spain,59496
Türkiye,Poland,57183
Netherlands,Spain,55533
France,Belgium,55047
Poland,Germany,54977
Portugal,Spain,54286
Germany,Ireland,50049
Spain,United Kingdom,49889
Poland,Greece,49767
Romania,Spain,46544
Italy,Portugal,46425
Germany,Austria,45327
Italy,United Kingdom,45271
Poland,Portugal,44806
Türkiye,Italy,44574
United Kingdom,France,39874
Germany,Sweden,39782
Romania,Italy,38946
Germany,Finland,38783
Italy,Poland,38099
Portugal,Italy,38033
Türkiye,Spain,37382
Romania,Portugal,35800
Netherlands,Germany,35670
Germany,Netherlands,35521
France,Portugal,35171
Slovakia,Czechia,34715
Türkiye,Romania,33508
Greece,Spain,33318
Germany,Poland,32339
Italy,Ireland,32198
Belgium,France,32003
Greece,Italy,30239
Austria,Germany,30142
France,Sweden,29866
Belgium,Spain,29627
France,Netherlands,29309
Spain,Netherlands,28922
France,Malta,28546
Romania,Türkiye,28471
Netherlands,United Kingdom,28272
Spain,Belgium,28171
Spain,Ireland,28084
Germany,Norway,27811
Türkiye,Czechia,27651
Italy,Belgium,27011
France,Poland,26655
France,Finland,26351
Germany,Portugal,26246
Romania,Hungary,26162
Türkiye,Portugal,25815
Czechia,Spain,25696
United Kingdom,Germany,25467
Italy,Malta,25434
Germany,Türkiye,25010
Czechia,Germany,24665
Spain,Czechia,24435
Romania,Poland,24175
Spain,Finland,23884
Italy,Romania,23714
Finland,Spain,23584
Hungary,Germany,23048
France,Greece,23013
Italy,Greece,22572
Germany,Denmark,22233
France,Czechia,22060
Poland,Czechia,21827
Poland,France,21640
Romania,France,21592
Portugal,Poland,21589
Italy,Netherlands,21348
Sweden,Spain,21148
Finland,Germany,21081
Hungary,Italy,20776
Germany,Greece,20487
United Kingdom,Italy,20260
Greece,Germany,20166
Austria,Spain,19924
Bulgaria,Italy,19868
Netherlands,Italy,19589
Germany,Czechia,19221
Hungary,Spain,18960
France,Norway,18936
Spain,Romania,18852
Germany,Malta,18820
Bulgaria,Spain,18701
Romania,Greece,18696
Spain,Greece,18401
Czechia,Slovakia,18160
Italy,Türkiye,18109
Romania,Germany,17943
Germany,Belgium,17783
Austria,Italy,17387
Lithuania,Poland,17292
Türkiye,Hungary,17096
Czechia,Italy,16630
Lithuania,Italy,16623
Spain,Sweden,16603
Belgium,Italy,16401
Poland,United Kingdom,16305
France,Romania,16270
Lithuania,Spain,16124
Germany,Hungary,16069
Poland,Türkiye,16021
Türkiye,Netherlands,15983
France,Denmark,15905
Türkiye,Austria,15846
Denmark,Spain,15804
Netherlands,France,15687
Netherlands,Belgium,15498
Ireland,Spain,15380
Italy,Finland,15316
Italy,Austria,15269
Austria,France,15250
Belgium,Netherlands,15061
Poland,Slovakia,14939
Portugal,Germany,14607
Sweden,Germany,14559
Türkiye,France,14394
Czechia,Poland,14363
Sweden,Italy,14362
Spain,Türkiye,14295
Italy,Sweden,14179
Slovakia,Poland,14152
Denmark,Germany,14049
Portugal,France,13980
Greece,France,13836
Czechia,Portugal,13722
Hungary,Romania,13588
Poland,Romania,13586
Netherlands,Sweden,13581
Greece,Portugal,13525
Spain,Austria,13453
France,Hungary,13442
Italy,Czechia,13429
United Kingdom,Netherlands,13315
Croatia,Spain,13299
Poland,Malta,13260
Romania,Bulgaria,13255
Netherlands,Finland,13208
Greece,Poland,13175
Sweden,France,13128
Belgium,Germany,13074
Spain,Hungary,12817
Bulgaria,Türkiye,12754
Türkiye,Lithuania,12687
Slovakia,Spain,12422
Czechia,United Kingdom,12274
Italy,Hungary,12183
France,Austria,12145
Norway,Spain,12002
Finland,Italy,11966
Austria,United Kingdom,11881
Greece,Cyprus,11863
Slovenia,Spain,11807
Czechia,France,11665
Greece,Romania,11581
Ireland,France,11578
Bulgaria,Romania,11550
Hungary,Greece,11529
