major_4digit,major_name,count_2013,count_2023,gross_change,pct_change,low_base_flag
2401,"Liberal Arts and Sciences, General Studies and Humanities",430068.0,511596.0,81528.0,18.95700214849745,False
5202,"Business Administration, Management and Operations",368019.0,393790.0,25771.0,7.002627581728118,False
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",233255.0,303407.0,70152.0,30.075239544704292,False
5108,Allied Health and Medical Assisting Services,147748.0,77755.0,-69993.0,-47.3732300944852,False
4301,Criminal Justice and Corrections,128848.0,102115.0,-26733.0,-20.74770271948342,False
4201,"Psychology, General",127224.0,143660.0,16436.0,12.918946110796705,False
1204,Cosmetology and Related Personal Grooming Services,119003.0,126862.0,7859.0,6.604035192390108,False
1312,"Teacher Education and Professional Development, Specific Levels and Methods",116191.0,105976.0,-10215.0,-8.791558726579511,False
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants",110421.0,88351.0,-22070.0,-19.987140127330854,False
5203,Accounting and Related Services,108936.0,83575.0,-25361.0,-23.280641844752882,False
5107,Health and Medical Administrative Services,104723.0,83753.0,-20970.0,-20.024254461770578,False
2601,"Biology, General",81464.0,102434.0,20970.0,25.741431798094865,False
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions",80375.0,84588.0,4213.0,5.241679626749611,False
4706,Vehicle Maintenance and Repair Technologies/Technicians,72333.0,66545.0,-5788.0,-8.001880192996282,False
0901,Communication and Media Studies,59030.0,56534.0,-2496.0,-4.228358461799085,False
5201,"Business/Commerce, General",58865.0,57116.0,-1749.0,-2.971205300263314,False
1313,"Teacher Education and Professional Development, Specific Subject Areas",55305.0,39752.0,-15553.0,-28.12223126299611,False
2301,"English Language and Literature, General",53964.0,35412.0,-18552.0,-34.37847453858128,False
3105,"Sports, Kinesiology, and Physical Education/Fitness",49402.0,65103.0,15701.0,31.782114084450026,False
4510,Political Science and Government,47029.0,46322.0,-707.0,-1.5033277339513917,False
2201,Law,46905.0,35279.0,-11626.0,-24.78627012045624,False
4407,Social Work,45084.0,58920.0,13836.0,30.689379824327922,False
5007,Fine and Studio Arts,45020.0,36212.0,-8808.0,-19.564637938693913,False
5208,Finance and Financial Management Services,44500.0,57799.0,13299.0,29.88539325842697,False
5401,History,43910.0,31178.0,-12732.0,-28.99567296743339,False
5004,Design and Applied Arts,43892.0,35436.0,-8456.0,-19.265469789483276,False
1205,Culinary Arts and Related Services,43503.0,21002.0,-22501.0,-51.72286968714801,False
1101,"Computer and Information Sciences, General",43267.0,104819.0,61552.0,142.260845448032,False
5214,Marketing,39740.0,52263.0,12523.0,31.512330145948663,False
1304,Educational Administration and Supervision,39676.0,43782.0,4106.0,10.348825486440164,False
4511,Sociology,38149.0,33164.0,-4985.0,-13.067183936669375,False
