state_abbr,major_4digit,major_name,count_2013,count_2023,gross_change,pct_change,low_base_flag
AL,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,10.0,21.0,11.0,110.00000000000001,True
AR,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,4.0,26.0,22.0,550.0,True
AS,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,7.0,3.0,-4.0,-57.14285714285714,True
AZ,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,2.0,10.0,8.0,400.0,True
CA,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,326.0,147.0,-179.0,-54.90797546012271,False
CO,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,36.0,13.0,-23.0,-63.888888888888886,True
CT,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,12.0,5.0,-7.0,-58.333333333333336,True
DE,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,58.0,47.0,-11.0,-18.96551724137931,False
FL,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,21.0,44.0,23.0,109.52380952380953,True
FM,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,4.0,9.0,5.0,125.0,True
GA,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,6.0,22.0,16.0,266.66666666666663,True
GU,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,2.0,12.0,10.0,500.0,True
HI,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,31.0,18.0,-13.0,-41.935483870967744,True
IA,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,27.0,42.0,15.0,55.55555555555556,True
ID,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,4.0,3.0,-1.0,-25.0,True
IL,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,316.0,268.0,-48.0,-15.18987341772152,False
IN,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,124.0,107.0,-17.0,-13.709677419354838,False
KS,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,43.0,50.0,7.0,16.27906976744186,True
KY,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,147.0,87.0,-60.0,-40.816326530612244,False
LA,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,79.0,84.0,5.0,6.329113924050633,False
MA,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,5.0,0.0,-5.0,-100.0,True
