year,major_4digit,major_name,graduates,share_of_total
2013,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,2755,0.0005533900918065123
2014,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,2921,0.0005822079173898589
2015,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,2993,0.0005922266932182624
2016,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3285,0.000646182389848032
2017,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3355,0.0006526858948644611
2018,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3457,0.0006612150060039164
2019,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3551,0.0006676385749573301
2020,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3332,0.0006273702904393061
2021,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3370,0.0006216255600624945
2022,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3151,0.0005818251917198022
2023,0100,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,3256,0.0006032236896465991
2013,3016,Accounting and Computer Science,51,1.0244244893695872e-05
2014,3016,Accounting and Computer Science,205,4.08601927644372e-05
2015,3016,Accounting and Computer Science,119,2.3546600899757173e-05
2016,3016,Accounting and Computer Science,62,1.2195832015396649e-05
2017,3016,Accounting and Computer Science,67,1.3034263772256005e-05
2018,3016,Accounting and Computer Science,45,8.607079916163216e-06
2019,3016,Accounting and Computer Science,71,1.3349011214297505e-05
2020,3016,Accounting and Computer Science,90,1.6945776152322193e-05
2021,3016,Accounting and Computer Science,48,8.85401391186936e-06
2022,3016,Accounting and Computer Science,160,2.9543646675711947e-05
2023,3016,Accounting and Computer Science,55,1.0189589352138498e-05
2013,5203,Accounting and Related Services,110838,0.022263757167205158
2014,5203,Accounting and Related Services,110284,0.021981587799186304
2015,5203,Accounting and Related Services,111891,0.022139938834241427
2016,5203,Accounting and Related Services,110127,0.0216627482638643
2017,5203,Accounting and Related Services,108487,0.021105196624787124
2018,5203,Accounting and Related Services,107851,0.02062849280084709
2019,5203,Accounting and Related Services,105123,0.01976462120958587
2020,5203,Accounting and Related Services,101094,0.01903462549269844
2021,5203,Accounting and Related Services,99265,0.018310285228369
2022,5203,Accounting and Related Services,93982,0.017353568761729752
2023,5203,Accounting and Related Services,84760,0.015703083517950165
2013,5105,Advanced/Graduate Dentistry and Oral Sciences,1434,0.0002880440623050957
2014,5105,Advanced/Graduate Dentistry and Oral Sciences,1498,0.00029857838420061915
2015,5105,Advanced/Graduate Dentistry and Oral Sciences,1574,0.0003114483177833428
2016,5105,Advanced/Graduate Dentistry and Oral Sciences,1638,0.00032220601356805983
2017,5105,Advanced/Graduate Dentistry and Oral Sciences,1662,0.0003233275580520818
2018,5105,Advanced/Graduate Dentistry and Oral Sciences,1714,0.00032783411058452786
2019,5105,Advanced/Graduate Dentistry and Oral Sciences,1685,0.00031680399853649714
2020,5105,Advanced/Graduate Dentistry and Oral Sciences,1700,0.000320086882877197
2021,5105,Advanced/Graduate Dentistry and Oral Sciences,1775,0.00032741405611600235
2022,5105,Advanced/Graduate Dentistry and Oral Sciences,1796,0.0003316274339348666
2023,5105,Advanced/Graduate Dentistry and Oral Sciences,1845,0.0003418144064490096
2013,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",5267,0.0010579693697077678
2014,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",5467,0.0010896715797228205
2015,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",5719,0.0011316219373589183
2016,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",5880,0.0011566369717827788
2017,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",6154,0.0011972068545442307
2018,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",6315,0.0012078602149015714
2019,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",7069,0.0013290726799136488
2020,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",7582,0.0014275874976322986
2021,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",8001,0.0014758534439347237
2022,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",8671,0.0016010810020318643
2023,1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",9220,0.0017081457059403083
2013,1602,"African Languages, Literatures, and Linguistics",16,3.213880750963411e-06
2014,1602,"African Languages, Literatures, and Linguistics",14,2.790452188790833e-06
2015,1602,"African Languages, Literatures, and Linguistics",9,1.7808353621665088e-06
2016,1602,"African Languages, Literatures, and Linguistics",12,2.360483615883222e-06
2017,1602,"African Languages, Literatures, and Linguistics",9,1.7508712529896127e-06
2018,1602,"African Languages, Literatures, and Linguistics",10,1.912684425814048e-06
2019,1602,"African Languages, Literatures, and Linguistics",12,2.2561709094587335e-06
2020,1602,"African Languages, Literatures, and Linguistics",3,5.648592050774064e-07
2021,1602,"African Languages, Literatures, and Linguistics",4,7.378344926557799e-07
2022,1602,"African Languages, Literatures, and Linguistics",3,5.53943375169599e-07
2023,1602,"African Languages, Literatures, and Linguistics",8,1.4821220875837816e-06
2013,0101,Agricultural Business and Management,7233,0.001452874966982397
2014,0101,Agricultural Business and Management,7467,0.0014883076066929395
2015,0101,Agricultural Business and Management,7948,0.0015726754953888237
2016,0101,Agricultural Business and Management,8120,0.0015972605800809803
2017,0101,Agricultural Business and Management,8474,0.0016485425553148863
2018,0101,Agricultural Business and Management,8521,0.0016297983992361504
2019,0101,Agricultural Business and Management,8910,0.0016752069002731096
2020,0101,Agricultural Business and Management,8504,0.0016011875599927547
2021,0101,Agricultural Business and Management,8098,0.0014937459303816264
2022,0101,Agricultural Business and Management,8140,0.0015030330246268452
2023,0101,Agricultural Business and Management,8085,0.0014978696347643593
2013,1403,Agricultural Engineering,1410,0.0002832232411786506
2014,1403,Agricultural Engineering,1432,0.00028542339531060525
2015,1403,Agricultural Engineering,1441,0.0002851315285424377
2016,1403,Agricultural Engineering,1558,0.00030646945612883834
2017,1403,Agricultural Engineering,1536,0.0002988153605102272
2018,1403,Agricultural Engineering,1546,0.00029570101223085185
2019,1403,Agricultural Engineering,1554,0.00029217413277490595
2020,1403,Agricultural Engineering,1564,0.0002944799322470212
2021,1403,Agricultural Engineering,1472,0.000271523093297327
2022,1403,Agricultural Engineering,1382,0.00025518324816146195
2023,1403,Agricultural Engineering,1328,0.00024603226653890773
2013,0102,Agricultural Mechanization,1170,0.00023501502991419944
2014,0102,Agricultural Mechanization,1330,0.00026509295793512914
2015,0102,Agricultural Mechanization,1522,0.0003011590468019363
2016,0102,Agricultural Mechanization,1431,0.00028148767119407425
2017,0102,Agricultural Mechanization,1507,0.000293173664250594
2018,0102,Agricultural Mechanization,1449,0.0002771479733004556
2019,0102,Agricultural Mechanization,1537,0.00028897789065317274
2020,0102,Agricultural Mechanization,1550,0.00029184392262332666
2021,0102,Agricultural Mechanization,1280,0.00023610703764984957
2022,0102,Agricultural Mechanization,1376,0.00025407536141112275
2023,0102,Agricultural Mechanization,1402,0.0002597418958490577
2013,0103,Agricultural Production Operations,1875,0.0003766266505035247
2014,0103,Agricultural Production Operations,2342,0.0004668027875820094
2015,0103,Agricultural Production Operations,2629,0.0005202017963484169
2016,0103,Agricultural Production Operations,2730,0.000537010022613433
2017,0103,Agricultural Production Operations,2814,0.0005474390784347522
2018,0103,Agricultural Production Operations,2926,0.0005596514629931904
2019,0103,Agricultural Production Operations,3176,0.0005971332340367448
2020,0103,Agricultural Production Operations,3610,0.0006797139101098124
2021,0103,Agricultural Production Operations,3066,0.0005655501386206553
2022,0103,Agricultural Production Operations,3124,0.0005768397013432758
2023,0103,Agricultural Production Operations,3522,0.0006525042490587599
2013,0108,Agricultural Public Services,582,0.00011690491231629408
2014,0108,Agricultural Public Services,624,0.00012437444041467715
2015,0108,Agricultural Public Services,672,0.00013296904037509932
2016,0108,Agricultural Public Services,686,0.0001349409800413242
2017,0108,Agricultural Public Services,720,0.00014006970023916902
2018,0108,Agricultural Public Services,725,0.0001386696208715185
2019,0108,Agricultural Public Services,774,0.0001455230236600883
2020,0108,Agricultural Public Services,823,0.00015495970859290183
2021,0108,Agricultural Public Services,845,0.0001558675365735335
2022,0108,Agricultural Public Services,867,0.0001600896354240141
2023,0108,Agricultural Public Services,866,0.00016043971598094436
2013,0105,Agricultural and Domestic Animal Services,1021,0.00020508576542085265
2014,0105,Agricultural and Domestic Animal Services,1061,0.00021147641230764814
2015,0105,Agricultural and Domestic Animal Services,1055,0.0002087534785650741
2016,0105,Agricultural and Domestic Animal Services,1074,0.0002112632836215484
2017,0105,Agricultural and Domestic Animal Services,1340,0.0002606852754451201
2018,0105,Agricultural and Domestic Animal Services,1166,0.000223019004049918
2019,0105,Agricultural and Domestic Animal Services,1070,0.00020117523942673706
2020,0105,Agricultural and Domestic Animal Services,1058,0.000199207012990632
2021,0105,Agricultural and Domestic Animal Services,990,0.00018261403693230552
2022,0105,Agricultural and Domestic Animal Services,979,0.00018077018809701249
2023,0105,Agricultural and Domestic Animal Services,1217,0.00022546782257368278
2013,0104,Agricultural and Food Products Processing,153,3.073273468108762e-05
2014,0104,Agricultural and Food Products Processing,138,2.7505885860938212e-05
2015,0104,Agricultural and Food Products Processing,159,3.1461424731608326e-05
2016,0104,Agricultural and Food Products Processing,149,2.930933823055001e-05
2017,0104,Agricultural and Food Products Processing,191,3.7157378813446225e-05
2018,0104,Agricultural and Food Products Processing,226,4.3226668023397486e-05
2019,0104,Agricultural and Food Products Processing,244,4.587547515899425e-05
2020,0104,Agricultural and Food Products Processing,251,4.725988682480967e-05
2021,0104,Agricultural and Food Products Processing,237,4.371669368985496e-05
2022,0104,Agricultural and Food Products Processing,190,3.5083080427407934e-05
2023,0104,Agricultural and Food Products Processing,198,3.6682521667698594e-05
2013,0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",335,6.729062822329642e-05
