prospect_id,audience_segment,market,primary_device,sessions_in_journey,touch_pattern,engaged_sessions,unique_channels,first_touch_channel,lead_touch_channel,last_touch_channel,lead_flag,enrollment_equivalent_flag,days_to_lead,days_to_enrollment,transaction_revenue,journey_path
MKG-00001,Promo Responders,National Market,Desktop,1,Single-touch,0,1,Referral,Referral,Referral,1,1,0.0,0.0,110.74,Referral
MKG-00002,Brand Returners,National Market,Tablet,2,Two-touch,0,2,Email,,Paid Search,0,0,,,0.0,Email > Paid Search
MKG-00003,Brand Returners,National Market,Desktop,3,Three-touch,3,2,Paid Search,Paid Search,Paid Search,1,1,0.0,8.0,135.03,Paid Search > Referral > Paid Search
MKG-00004,Research-Heavy Browsers,Regional Market,Desktop,1,Single-touch,1,1,Email,Email,Email,1,1,0.0,0.0,117.43,Email
MKG-00005,Brand Returners,Core Market,Desktop,1,Single-touch,1,1,Organic Search,,Organic Search,0,0,,,0.0,Organic Search
MKG-00006,Research-Heavy Browsers,National Market,Desktop,3,Three-touch,1,3,Paid Social,Paid Social,Paid Search,1,0,0.0,,0.0,Paid Social > Email > Paid Search
MKG-00007,Research-Heavy Browsers,Regional Market,Desktop,3,Three-touch,2,3,Email,Paid Search,Paid Search,1,1,14.0,14.0,127.17,Email > Referral > Paid Search
MKG-00008,Cross-Border Shoppers,National Market,Desktop,3,Three-touch,3,2,Paid Search,Paid Search,Direct,1,1,0.0,12.0,155.68,Paid Search > Paid Search > Direct
MKG-00009,Research-Heavy Browsers,National Market,Mobile,4,Four-plus,3,3,Paid Social,Paid Social,Paid Search,1,0,0.0,,0.0,Paid Social > Paid Social > Direct > Paid Search
MKG-00010,Cross-Border Shoppers,National Market,Desktop,5,Four-plus,5,5,Referral,Referral,Direct,1,1,0.0,18.0,153.48,Referral > Organic Search > Email > Paid Search > Direct
MKG-00011,Research-Heavy Browsers,Regional Market,Mobile,2,Two-touch,1,2,Email,,Paid Social,0,0,,,0.0,Email > Paid Social
MKG-00012,Cross-Border Shoppers,International Market,Desktop,1,Single-touch,1,1,Paid Search,Paid Search,Paid Search,1,0,0.0,,0.0,Paid Search
MKG-00013,Brand Returners,Regional Market,Mobile,3,Three-touch,1,2,Organic Search,,Paid Search,0,0,,,0.0,Organic Search > Paid Search > Paid Search
MKG-00014,Brand Returners,Regional Market,Desktop,1,Single-touch,1,1,Paid Search,Paid Search,Paid Search,1,1,0.0,0.0,109.37,Paid Search
MKG-00015,Brand Returners,Core Market,Desktop,3,Three-touch,2,3,Organic Search,Paid Search,Paid Search,1,1,10.0,10.0,119.3,Organic Search > Email > Paid Search
MKG-00016,Promo Responders,Core Market,Mobile,4,Four-plus,2,3,Paid Search,Paid Social,Direct,1,0,3.0,,0.0,Paid Search > Paid Social > Direct > Direct
MKG-00017,Research-Heavy Browsers,Regional Market,Tablet,2,Two-touch,2,2,Email,Organic Search,Organic Search,1,1,6.0,6.0,135.64,Email > Organic Search
MKG-00018,Promo Responders,National Market,Desktop,1,Single-touch,0,1,Paid Search,,Paid Search,0,0,,,0.0,Paid Search
MKG-00019,Promo Responders,National Market,Mobile,5,Four-plus,2,3,Referral,,Organic Search,0,0,,,0.0,Referral > Direct > Referral > Referral > Organic Search
MKG-00020,Research-Heavy Browsers,National Market,Tablet,5,Four-plus,3,5,Paid Search,Organic Search,Direct,1,0,7.0,,0.0,Paid Search > Paid Social > Organic Search > Email > Direct
MKG-00021,Research-Heavy Browsers,Core Market,Desktop,2,Two-touch,0,2,Paid Social,Paid Social,Email,1,1,0.0,2.0,116.73,Paid Social > Email
MKG-00022,Cross-Border Shoppers,International Market,Desktop,4,Four-plus,3,3,Email,Direct,Direct,1,1,12.0,12.0,114.84,Email > Direct > Referral > Direct
