session_id,prospect_id,session_date,week_start,audience_segment,market,primary_device,session_order,sessions_in_journey,touch_pattern,channel_group,journey_path,visitor_status,engaged_session_flag,lead_event_flag,lead_flag,enrollment_equivalent_flag,session_quality_score,session_duration_seconds,pageviews,touch_role,first_touch_credit,last_touch_credit,linear_credit,transaction_revenue
MKG-00001-S1,MKG-00001,2020-11-15,2020-11-09,Promo Responders,National Market,Desktop,1,1,Single-touch,Referral,Referral,New,0,1,1,1,66,276,6,Single-touch,1.0,1.0,1.0,110.74
MKG-00002-S1,MKG-00002,2021-01-01,2020-12-28,Brand Returners,National Market,Tablet,1,2,Two-touch,Email,Email > Paid Search,New,0,0,0,0,65,274,4,First touch,0.0,0.0,0.0,0.0
MKG-00002-S2,MKG-00002,2021-01-09,2021-01-04,Brand Returners,National Market,Tablet,2,2,Two-touch,Paid Search,Email > Paid Search,Returning,0,0,0,0,67,275,4,Last session,0.0,0.0,0.0,0.0
MKG-00003-S1,MKG-00003,2020-12-08,2020-12-07,Brand Returners,National Market,Desktop,1,3,Three-touch,Paid Search,Paid Search > Referral > Paid Search,New,1,1,1,0,76,275,5,First touch,1.0,0.0,0.3333333333333333,0.0
MKG-00003-S2,MKG-00003,2020-12-09,2020-12-07,Brand Returners,National Market,Desktop,2,3,Three-touch,Referral,Paid Search > Referral > Paid Search,Returning,1,0,1,0,87,300,6,Assist,0.0,0.0,0.3333333333333333,0.0
MKG-00003-S3,MKG-00003,2020-12-16,2020-12-14,Brand Returners,National Market,Desktop,3,3,Three-touch,Paid Search,Paid Search > Referral > Paid Search,Returning,1,0,1,1,82,343,6,Closer,0.0,1.0,0.3333333333333333,135.03
MKG-00004-S1,MKG-00004,2020-12-02,2020-11-30,Research-Heavy Browsers,Regional Market,Desktop,1,1,Single-touch,Email,Email,New,1,1,1,1,85,328,6,Single-touch,1.0,1.0,1.0,117.43
MKG-00005-S1,MKG-00005,2020-11-27,2020-11-23,Brand Returners,Core Market,Desktop,1,1,Single-touch,Organic Search,Organic Search,New,1,0,0,0,70,339,7,Single-touch,0.0,0.0,0.0,0.0
MKG-00006-S1,MKG-00006,2020-12-19,2020-12-14,Research-Heavy Browsers,National Market,Desktop,1,3,Three-touch,Paid Social,Paid Social > Email > Paid Search,New,0,1,1,0,66,268,4,First touch,0.0,0.0,0.0,0.0
MKG-00006-S2,MKG-00006,2020-12-20,2020-12-14,Research-Heavy Browsers,National Market,Desktop,2,3,Three-touch,Email,Paid Social > Email > Paid Search,Returning,0,0,1,0,80,243,5,Assist,0.0,0.0,0.0,0.0
MKG-00006-S3,MKG-00006,2020-12-22,2020-12-21,Research-Heavy Browsers,National Market,Desktop,3,3,Three-touch,Paid Search,Paid Social > Email > Paid Search,Returning,1,0,1,0,87,343,8,Last session,0.0,0.0,0.0,0.0
MKG-00007-S1,MKG-00007,2020-12-28,2020-12-28,Research-Heavy Browsers,Regional Market,Desktop,1,3,Three-touch,Email,Email > Referral > Paid Search,New,0,0,1,0,75,257,6,First touch,1.0,0.0,0.3333333333333333,0.0
MKG-00007-S2,MKG-00007,2021-01-02,2020-12-28,Research-Heavy Browsers,Regional Market,Desktop,2,3,Three-touch,Referral,Email > Referral > Paid Search,Returning,1,0,1,0,74,325,6,Assist,0.0,0.0,0.3333333333333333,0.0
MKG-00007-S3,MKG-00007,2021-01-11,2021-01-11,Research-Heavy Browsers,Regional Market,Desktop,3,3,Three-touch,Paid Search,Email > Referral > Paid Search,Returning,1,1,1,1,75,324,6,Closer,0.0,1.0,0.3333333333333333,127.17
MKG-00008-S1,MKG-00008,2020-12-18,2020-12-14,Cross-Border Shoppers,National Market,Desktop,1,3,Three-touch,Paid Search,Paid Search > Paid Search > Direct,New,1,1,1,0,82,265,5,First touch,1.0,0.0,0.3333333333333333,0.0
MKG-00008-S2,MKG-00008,2020-12-24,2020-12-21,Cross-Border Shoppers,National Market,Desktop,2,3,Three-touch,Paid Search,Paid Search > Paid Search > Direct,Returning,1,0,1,0,88,380,6,Assist,0.0,0.0,0.3333333333333333,0.0
MKG-00008-S3,MKG-00008,2020-12-30,2020-12-28,Cross-Border Shoppers,National Market,Desktop,3,3,Three-touch,Direct,Paid Search > Paid Search > Direct,Returning,1,0,1,1,91,294,7,Closer,0.0,1.0,0.3333333333333333,155.68
MKG-00009-S1,MKG-00009,2020-11-02,2020-11-02,Research-Heavy Browsers,National Market,Mobile,1,4,Four-plus,Paid Social,Paid Social > Paid Social > Direct > Paid Search,New,1,1,1,0,51,222,5,First touch,0.0,0.0,0.0,0.0
