section_id,term_name,program_name,school,course_code,course_title,requirement_type,course_level_group,capacity,enrolled,waitlist_count,fill_rate,waitlist_pressure,section_risk,modality,time_slot
BUAD-BA101-01,2026 Winter,Business Administration,Business,BA 101,Introduction to Business,Required,Senior,50,49,0,0.98,0.0,Stable,In Person,Morning
BUAD-BA101-02,2026 Winter,Business Administration,Business,BA 101,Introduction to Business,Required,Sophomore,31,31,1,1.0,0.032,Stable,Online,Afternoon
BUAD-ACTG211-01,2026 Winter,Business Administration,Business,ACTG 211,Financial Accounting,Required,Sophomore,30,30,1,1.0,0.033,Bottleneck,In Person,Morning
BUAD-ACTG211-02,2026 Winter,Business Administration,Business,ACTG 211,Financial Accounting,Required,Senior,45,45,3,1.0,0.067,Bottleneck,Hybrid,Afternoon
BUAD-ACTG213-01,2026 Winter,Business Administration,Business,ACTG 213,Managerial Accounting,Required,Senior,33,32,0,0.97,0.0,Stable,In Person,Midday
BUAD-ECON201-01,2026 Winter,Business Administration,Business,ECON 201,Introduction to Microeconomics,Required,Junior,42,38,0,0.905,0.0,Stable,In Person,Midday
BUAD-ECON202-01,2026 Winter,Business Administration,Business,ECON 202,Introduction to Macroeconomics,Required,Senior,40,39,0,0.975,0.0,Stable,In Person,Afternoon
BUAD-BA260-01,2026 Winter,Business Administration,Business,BA 260,Principles of Marketing,Required,Senior,30,27,0,0.9,0.0,Stable,In Person,Midday
BUAD-BA302-01,2026 Winter,Business Administration,Business,BA 302,Managing Organizations,Required,Sophomore,29,28,0,0.966,0.0,Stable,Hybrid,Midday
BUAD-FIN350-01,2026 Winter,Business Administration,Business,FIN 350,Business Finance,Required,Senior,33,33,1,1.0,0.03,Stable,Online,Midday
BUAD-BIS315-01,2026 Winter,Business Administration,Business,BIS 315,Business Information Systems,Required,Junior,32,32,0,1.0,0.0,Stable,Online,Midday
BUAD-BA390-01,2026 Winter,Business Administration,Business,BA 390,Business Career Success,Required,Sophomore,50,50,2,1.0,0.04,Bottleneck,Hybrid,Midday
BUAD-BA497-01,2026 Winter,Business Administration,Business,BA 497,Business Strategy Capstone,Required,Sophomore,34,34,2,1.0,0.059,Bottleneck,In Person,Midday
BUAD-BA497-02,2026 Winter,Business Administration,Business,BA 497,Business Strategy Capstone,Required,Sophomore,48,48,6,1.0,0.125,Bottleneck,In Person,Evening
BUAD-BA361-01,2026 Winter,Business Administration,Business,BA 361,Retail Management,Elective,Junior,27,18,0,0.667,0.0,Stable,Hybrid,Morning
BUAD-BA364-01,2026 Winter,Business Administration,Business,BA 364,Supply Chain Analytics,Elective,Sophomore,29,23,0,0.793,0.0,Stable,In Person,Afternoon
